age_group,prev,SE,sex,year
0,0.049,0.024731473,male,2005
1,0.042,0.013878548,male,2005
2,0.016,0.00591797,male,2005
3,0.032,0.013300479,male,2005
4,0.06,0.013894022,male,2005
5,0.121,0.024940364,male,2005
6,0.233,0.03452662,male,2005
7,0.233,0.030687092,male,2005
8,0.175,0.032327967,male,2005
9,0.103,0.023756064,male,2005
10,0.142,0.035772037,male,2005
11,0.064,0.038896216,male,2005
0,0.053,0.014450943,female,2005
1,0.048,0.012878861,female,2005
2,0.018,0.006108531,female,2005
3,0.094,0.013390395,female,2005
4,0.239,0.021998806,female,2005
5,0.333,0.02996587,female,2005
6,0.26,0.02406213,female,2005
7,0.193,0.024729643,female,2005
8,0.124,0.017244691,female,2005
9,0.087,0.016509021,female,2005
10,0.075,0.015843354,female,2005
11,0.03,0.00960792,female,2005
0,0.058,0.021924643,male,2008
1,0.03,0.008864641,male,2008
2,0.013,0.006058809,male,2008
3,0.025,0.013244959,male,2008
4,0.051,0.012107889,male,2008
5,0.157,0.026579509,male,2008
6,0.258,0.037667271,male,2008
7,0.185,0.034662832,male,2008
8,0.192,0.035574062,male,2008
9,0.084,0.020015666,male,2008
10,0.104,0.024311931,male,2008
11,0.062,0.01924376,male,2008
0,0.027,0.010335215,female,2008
1,0.026,0.008186597,female,2008
2,0.013,0.004866166,female,2008
3,0.067,0.010202485,female,2008
4,0.211,0.019353721,female,2008
5,0.327,0.02892907,female,2008
6,0.291,0.03121591,female,2008
7,0.248,0.023488381,female,2008
8,0.163,0.022141371,female,2008
9,0.141,0.025013046,female,2008
10,0.102,0.022671126,female,2008
11,0.077,0.018780181,female,2008
0,0.021,0.00531251,male,2012
1,0.024,0.00442556,male,2012
2,0,0,male,2012
3,0.007,0.001962375,male,2012
4,0.051,0.00830248,male,2012
5,0.173,0.019813544,male,2012
6,0.256,0.032232729,male,2012
7,0.288,0.03331742,male,2012
8,0.158,0.022890477,male,2012
9,0.134,0.024111237,male,2012
10,0.155,0.027668454,male,2012
11,0.055,0.011911461,male,2012
0,0.014,0.00392594,female,2012
1,0.029,0.00423861,female,2012
2,0,0,female,2012
3,0.056,0.008291995,female,2012
4,0.174,0.015293307,female,2012
5,0.284,0.024330127,female,2012
6,0.36,0.02688067,female,2012
7,0.316,0.025302943,female,2012
8,0.28,0.028382667,female,2012
9,0.197,0.022713199,female,2012
10,0.148,0.01931676,female,2012
11,0.097,0.015909374,female,2012
1,0.042,0.0165935,male,2016
2,0.026,0.0084867,male,2016
3,0.102,0.0249077,male,2016
4,0.274,0.0446753,male,2016
5,0.224,0.048335,male,2016
6,0.319,0.0493084,male,2016
7,0.264,0.0551698,male,2016
8,0.119,0.0289005,male,2016
9,0.176,0.0490194,male,2016
1,0.06,0.0120261,female,2016
2,0.17,0.0259405,female,2016
3,0.325,0.033013,female,2016
4,0.408,0.034445,female,2016
5,0.385,0.0373723,female,2016
6,0.44,0.0431644,female,2016
7,0.205,0.0274629,female,2016
8,0.198,0.0282056,female,2016
9,0.268,0.0396066,female,2016
0,0.025,0.00625876,male,2017
1,0.024,0.00406158,male,2017
2,0,0,male,2017
3,0.047,0.00995056,male,2017
4,0.048,0.0084978,male,2017
5,0.124,0.01598307,male,2017
6,0.184,0.02189706,male,2017
7,0.237,0.02446698,male,2017
8,0.224,0.02604607,male,2017
9,0.248,0.03374467,male,2017
10,0.202,0.0295905,male,2017
11,0.148,0.02754455,male,2017
0,0.039,0.00977778,female,2017
1,0.025,0.00371427,female,2017
2,0,0,female,2017
3,0.058,0.00789243,female,2017
4,0.156,0.01678487,female,2017
5,0.275,0.02042601,female,2017
6,0.347,0.02354136,female,2017
7,0.394,0.02559386,female,2017
8,0.359,0.02250646,female,2017
9,0.303,0.02196803,female,2017
10,0.222,0.02806442,female,2017
11,0.176,0.02011788,female,2017
0,0.011,0.003235515,male,2022
1,0.034,0.006741009,male,2022
2,0,0,male,2022
3,0.031,0.00676148,male,2022
4,0.04,0.008364824,male,2022
5,0.063,0.010604815,male,2022
6,0.108,0.015685164,male,2022
7,0.169,0.019078542,male,2022
8,0.199,0.020921303,male,2022
9,0.271,0.027639192,male,2022
10,0.23,0.025070317,male,2022
11,0.151,0.018890573,male,2022
0,0.013,0.005115466,female,2022
1,0.027,0.006398815,female,2022
2,0,0,female,2022
3,0.057,0.007364355,female,2022
4,0.08,0.008383495,female,2022
5,0.195,0.016318988,female,2022
6,0.262,0.020196521,female,2022
7,0.342,0.023784499,female,2022
8,0.338,0.022237743,female,2022
9,0.288,0.02169095,female,2022
10,0.291,0.03173941,female,2022
11,0.161,0.017608099,female,2022
