year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
anc_overall;0.0076;0.0135;0.0242;0.0425;0.0757;0.1044;0.1417;0.1704;0.211;0.224;0.245;0.248;0.265;0.279;0.295;0.302;0.291;0.294;0.293;0.294;0.302;0.295;0.295;0.297;0.3;0.308;;0.29;;0.277;;;0.253;
anc_overall_up;;;;;;;;;0.015;0.012;0.011;0.013;0.011;0.01;0.01;0.01;0.008;0.007;0.008;0.008;0.007;0.007;0.007;0.008;0.008;0.01;;0.01;;0.009;;;0.0081;
anc_overall_lw;;;;;;;;;0.016;0.011;0.011;0.012;0.01;0.011;0.01;0.011;0.008;0.009;0.008;0.007;0.008;0.008;0.007;0.008;0.008;0.011;;0.011;;0.008;;;0.0078;
anc_1519;;0.0179;0.0262;0.0457;0.0647;0.095;0.1278;0.127;0.192;0.165;0.161;0.154;0.148;0.158;0.161;0.159;0.137;0.131;0.141;0.137;0.14;0.127;0.124;0.127;0.121;0.118;;0.09;;0.101;;;0.077;
anc_1519_up;;;;;;;;0.015;0.028;0.016;0.016;0.015;0.013;0.014;0.014;0.013;0.009;0.009;0.009;0.01;0.009;0.009;0.009;0.009;0.009;0.017;;0.017;;0.012;;;0.0116;
anc_1519_lw;;;;;;;;0.014;0.026;0.016;0.016;0.016;0.014;0.015;0.014;0.013;0.009;0.009;0.01;0.008;0.009;0.009;0.008;0.008;0.008;0.015;;0.015;;0.012;;;0.0101;
anc_2024;;0.0215;0.0392;0.0606;0.0894;0.1312;0.1752;0.197;0.24;0.256;0.291;0.284;0.291;0.303;0.308;0.306;0.28;0.28;0.269;0.266;0.267;0.253;0.242;0.24;0.232;0.232;;0.196;;0.173;;;0.149;
anc_2024_up;;;;;;;;0.013;0.02;0.017;0.017;0.018;0.015;0.015;0.015;0.016;0.011;0.011;0.01;0.01;0.011;0.011;0.01;0.01;0.01;0.017;;0.017;;0.013;;;0.0115;
anc_2024_lw;;;;;;;;0.013;0.02;0.016;0.017;0.019;0.016;0.015;0.015;0.016;0.011;0.011;0.01;0.01;0.01;0.01;0.009;0.009;0.009;0.017;;0.017;;0.011;;;0.0107;
anc_2529;;0.0137;0.0211;0.0522;0.0863;0.1103;0.1521;0.182;0.249;0.264;0.306;0.314;0.345;0.354;0.385;0.395;0.387;0.375;0.379;0.371;0.373;0.363;0.368;0.349;0.344;0.347;;0.31;;0.302;;;0.256;
anc_2529_up;;;;;;;;0.014;0.021;0.019;0.018;0.019;0.019;0.018;0.018;0.018;0.015;0.013;0.014;0.013;0.014;0.013;0.013;0.013;0.013;0.021;;0.021;;0.015;;;0.014;
anc_2529_lw;;;;;;;;0.014;0.022;0.018;0.018;0.019;0.019;0.018;0.017;0.018;0.014;0.013;0.015;0.013;0.013;0.013;0.013;0.013;0.013;0.021;;0.021;;0.015;;;0.0136;
anc_3034;;0.0072;0.0204;0.0305;0.0637;0.0805;0.1213;0.145;0.176;0.217;0.233;0.256;0.295;0.309;0.344;0.364;0.37;0.396;0.404;0.415;0.426;0.422;0.428;0.425;0.433;0.439;;0.42;;0.389;;;0.373;
anc_3034_up;;;;;;;;0.017;0.02;0.021;0.018;0.021;0.021;0.02;0.022;0.021;0.015;0.016;0.016;0.016;0.016;0.015;0.016;0.016;0.016;0.025;;0.025;;0.019;;;0.0177;
anc_3034_lw;;;;;;;;0.016;0.02;0.026;0.018;0.021;0.021;0.02;0.022;0.021;0.015;0.016;0.017;0.016;0.017;0.016;0.016;0.016;0.016;0.025;;0.025;;0.018;;;0.0173;
anc_3539;;0.0039;0.0198;0.0176;0.0372;0.0737;0.0967;0.095;0.13;0.162;0.158;0.193;0.198;0.234;0.245;0.28;0.293;0.33;0.324;0.354;0.384;0.395;0.402;0.425;0.447;0.467;;0.451;;0.451;;;0.427;
anc_3539_up;;;;;;;;0.02;0.022;0.021;0.019;0.022;0.022;0.025;0.027;0.028;0.022;0.019;0.019;0.019;0.021;0.02;0.018;0.018;0.018;0.037;;0.037;;0.024;;;0.0234;
anc_3539_lw;;;;;;;;0.018;0.022;0.021;0.019;0.023;0.023;0.025;0.026;0.028;0.016;0.019;0.019;0.019;0.021;0.02;0.019;0.019;0.019;0.036;;0.036;;0.024;;;0.0231;
