;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infant mortality rate (/1000);Mean;53.60470000;52.45970000;50.93690000;49.48190000;48.08450000;46.79930000;45.80560000;45.09350000;44.88980000;45.31870000;46.30270000;47.75870000;48.86870000;51.28550000;51.52060000;51.86910000;52.31840000;54.85380000;56.29050000;55.44800000;52.98460000;50.03780000;45.54840000;41.23360000;36.33260000;32.74070000;31.03390000;30.27640000;29.59910000;28.93050000;28.30310000;27.82630000;27.43670000;27.17700000;25.09160000;24.94800000;29.03970000;29.30500000;28.53970000;27.76930000;27.02010000;26.28980000;25.58520000;24.90740000;24.25530000;23.62530000;23.01540000;22.42400000;21.84790000;21.28830000;20.74430000;20.21540000;19.70110000;19.20190000;18.71740000;18.24730000;17.79110000;17.34840000;16.91890000;16.50220000;16.09820000;15.70640000;15.32650000;14.95820000;14.60090000;14.25450000;13.91830000;13.59200000;13.27540000;12.96810000;12.66980000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;53.60120000;52.44910000;50.91890000;49.45170000;48.03770000;46.71760000;45.65570000;44.81690000;44.43270000;44.65430000;45.44160000;46.80260000;47.86880000;50.21540000;50.41820000;50.74440000;51.22630000;53.81260000;55.29500000;54.51470000;52.13760000;49.28150000;44.91310000;40.74880000;36.03110000;32.58130000;30.93430000;30.19670000;29.53460000;28.88000000;28.26710000;27.79740000;27.41060000;27.15140000;25.06560000;24.92200000;29.01120000;29.27720000;28.51360000;27.74700000;27.00130000;26.27390000;25.57130000;24.89520000;24.24420000;23.61480000;23.00530000;22.41430000;21.83870000;21.27930000;20.73570000;20.20710000;19.69320000;19.19420000;18.71010000;18.24030000;17.78450000;17.34210000;16.91280000;16.49640000;16.09270000;15.70120000;15.32160000;14.95350000;14.59650000;14.25020000;13.91420000;13.58810000;13.27170000;12.96460000;12.66640000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;53.60760000;52.46850000;50.95150000;49.50640000;48.12720000;46.88160000;45.95550000;45.37170000;45.37760000;46.08730000;47.36510000;49.03130000;50.26930000;52.73690000;52.96650000;53.26150000;53.61380000;56.01670000;57.38710000;56.48300000;53.98070000;50.88110000;46.22740000;41.75140000;36.65750000;32.92510000;31.14940000;30.37380000;29.68090000;28.99720000;28.35160000;27.86620000;27.47340000;27.21250000;25.12690000;24.98270000;29.07610000;29.34020000;28.57200000;27.79670000;27.04310000;26.30930000;25.60180000;24.92170000;24.26880000;23.63830000;23.02800000;22.43620000;21.85970000;21.29970000;20.75540000;20.22610000;19.71140000;19.21180000;18.72690000;18.25640000;17.79990000;17.35690000;16.92700000;16.51000000;16.10560000;15.71360000;15.33340000;14.96470000;14.60720000;14.26050000;13.92400000;13.59750000;13.28070000;12.97330000;12.67480000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Under-5 mortality rate (/1000);Mean;74.13660000;72.29960000;70.17840000;68.11320000;66.11170000;64.25770000;62.75240000;61.65270000;61.28010000;61.86040000;63.37240000;65.70480000;67.97160000;72.08650000;73.94330000;76.23060000;78.16590000;81.42230000;83.57080000;83.19260000;79.40000000;74.81250000;68.86580000;62.85990000;55.21960000;48.40660000;44.50830000;42.72020000;41.39500000;40.25910000;39.13310000;38.24250000;37.59440000;37.11410000;34.13530000;33.91170000;39.56170000;40.14390000;39.11240000;38.03330000;36.97750000;35.95330000;34.97090000;34.03410000;33.13950000;32.27750000;31.44390000;30.63590000;29.84990000;29.08680000;28.34570000;27.62560000;26.92600000;26.24720000;25.58880000;24.95010000;24.33070000;23.73000000;23.14730000;22.58240000;22.03490000;21.50420000;20.98980000;20.49110000;20.00780000;19.53930000;19.08490000;18.64430000;18.21700000;17.80260000;17.40060000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;74.13310000;72.28720000;70.15510000;68.07230000;66.04890000;64.14790000;62.54980000;61.27480000;60.65960000;60.91150000;62.10620000;64.17900000;66.36100000;70.44950000;72.15280000;74.40210000;76.37590000;79.63980000;81.94170000;81.63670000;77.97540000;73.55060000;67.76250000;61.95550000;54.58610000;48.02700000;44.28150000;42.55310000;41.26550000;40.15600000;39.05770000;38.18370000;37.54130000;37.06380000;34.08450000;33.86040000;39.50720000;40.09040000;39.06180000;37.99000000;36.94200000;35.92430000;34.94570000;34.01130000;33.11810000;32.25760000;31.42470000;30.61700000;29.83140000;29.06870000;28.32800000;27.60840000;26.90940000;26.23120000;25.57340000;24.93540000;24.31660000;23.71660000;23.13460000;22.57030000;22.02340000;21.49320000;20.97940000;20.48130000;19.99850000;19.53040000;19.07650000;18.63620000;18.20930000;17.79530000;17.39370000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;74.13950000;72.30990000;70.19750000;68.14550000;66.16770000;64.36340000;62.94980000;62.01970000;61.92460000;62.89930000;64.89190000;67.62230000;70.16660000;74.42390000;76.32080000;78.55740000;80.36300000;83.42990000;85.38730000;84.89590000;81.01960000;76.26820000;70.07100000;63.82500000;55.89140000;48.83530000;44.77140000;42.92460000;41.55740000;40.39420000;39.23470000;38.32580000;37.66710000;37.18240000;34.20370000;33.98260000;39.63290000;40.21280000;39.17780000;38.08860000;37.02330000;35.99170000;35.00360000;34.06390000;33.16760000;32.30360000;31.46910000;30.66060000;29.87370000;29.10970000;28.36790000;27.64750000;26.94750000;26.26800000;25.60880000;24.96930000;24.34910000;23.74760000;23.16420000;22.59860000;22.05040000;21.51900000;21.00390000;20.50460000;20.02070000;19.55160000;19.09680000;18.65560000;18.22790000;17.81300000;17.41060000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total AIDS deaths;Mean;14.32840000;61.30850000;139.44800000;286.35100000;572.21300000;1139.39000000;2276.00000000;4516.59000000;8655.90000000;15684.90000000;26573.50000000;41995.10000000;62302.40000000;86891.70000000;115772.00000000;147605.00000000;178165.00000000;209327.00000000;239242.00000000;268457.00000000;278557.00000000;274067.00000000;257226.00000000;236544.00000000;212009.00000000;180700.00000000;148424.00000000;119246.00000000;103074.00000000;95096.50000000;91533.40000000;87292.70000000;82512.40000000;78429.40000000;75276.80000000;71585.00000000;67019.20000000;62217.20000000;57946.80000000;54410.50000000;51496.90000000;49292.70000000;47619.50000000;46417.00000000;45694.50000000;45267.50000000;45033.80000000;44867.30000000;44727.90000000;44592.60000000;44446.30000000;44279.00000000;44083.80000000;43855.90000000;43592.60000000;43292.30000000;42954.60000000;42579.30000000;42166.70000000;41717.20000000;41231.50000000;40710.30000000;40154.20000000;39564.20000000;38941.00000000;38285.80000000;37599.50000000;36883.20000000;36138.10000000;35365.70000000;34567.70000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
