;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infant mortality rate (/1000);Mean;53.60070000;52.45170000;50.94230000;49.53690000;48.25860000;47.19370000;46.52070000;46.16400000;46.23050000;46.75460000;47.67260000;48.97730000;49.91250000;52.14730000;52.21860000;52.42670000;52.76420000;55.21150000;56.57910000;55.67490000;53.18330000;50.20920000;45.69270000;41.33720000;36.39360000;32.77020000;31.04880000;30.28610000;29.60630000;28.93520000;28.30530000;27.82700000;27.43670000;27.17630000;25.09010000;24.94560000;29.03600000;29.30040000;28.53460000;27.76410000;27.01490000;26.28480000;25.58050000;24.90300000;24.25110000;23.62120000;23.01140000;22.42020000;21.84410000;21.28450000;20.74060000;20.21160000;19.69730000;19.19790000;18.71340000;18.24310000;17.78670000;17.34390000;16.91420000;16.49730000;16.09310000;15.70130000;15.32130000;14.95280000;14.59550000;14.24900000;13.91280000;13.58650000;13.27000000;12.96270000;12.66450000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;53.59700000;52.43840000;50.91160000;49.46630000;48.11490000;46.93700000;46.10770000;45.57170000;45.44470000;45.82420000;46.61850000;47.82880000;48.69980000;50.91020000;50.95230000;51.21680000;51.59030000;54.11990000;55.55870000;54.75310000;52.34570000;49.46980000;45.08800000;40.87190000;36.10940000;32.62510000;30.95520000;30.21390000;29.54440000;28.88670000;28.26980000;27.79830000;27.41070000;27.14880000;25.06220000;24.91780000;29.00700000;29.27200000;28.50820000;27.74060000;26.99410000;26.26640000;25.56380000;24.88740000;24.23610000;23.60650000;22.99700000;22.40590000;21.83010000;21.27070000;20.72700000;20.19840000;19.68440000;19.18540000;18.70120000;18.23140000;17.77540000;17.33300000;16.90370000;16.48730000;16.08360000;15.69210000;15.31250000;14.94440000;14.58750000;14.24130000;13.90540000;13.57940000;13.26320000;12.95630000;12.65830000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;53.60540000;52.46730000;50.97100000;49.59850000;48.39650000;47.43590000;46.92800000;46.76880000;47.00260000;47.71740000;48.78270000;50.17900000;51.15170000;53.36820000;53.38360000;53.50550000;53.78770000;56.19810000;57.43230000;56.49780000;53.93600000;50.87240000;46.23130000;41.76280000;36.65660000;32.90810000;31.13360000;30.36050000;29.67180000;28.98930000;28.34710000;27.86300000;27.47070000;27.21130000;25.12670000;24.98320000;29.07310000;29.33690000;28.56880000;27.79400000;27.04080000;26.30570000;25.59810000;24.91910000;24.26640000;23.63590000;23.02580000;22.43430000;21.85810000;21.29830000;20.75410000;20.22490000;19.71020000;19.21050000;18.72560000;18.25480000;17.79810000;17.35500000;16.92480000;16.50750000;16.10290000;15.71060000;15.33020000;14.96140000;14.60370000;14.25700000;13.92040000;13.59390000;13.27700000;12.96950000;12.67100000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Under-5 mortality rate (/1000);Mean;74.13270000;72.28970000;70.18080000;68.17290000;66.31970000;64.75640000;63.70250000;63.14970000;63.26490000;64.11840000;65.64910000;67.81570000;69.82800000;73.64760000;75.22540000;77.26650000;79.00120000;82.09340000;84.11080000;83.61830000;79.76920000;75.12450000;69.12560000;63.05230000;55.34540000;48.47790000;44.54670000;42.74350000;41.41000000;40.26870000;39.13770000;38.24420000;37.59460000;37.11280000;34.13240000;33.90700000;39.55480000;40.13510000;39.10220000;38.02240000;36.96660000;35.94280000;34.96100000;34.02480000;33.13060000;32.26890000;31.43560000;30.62770000;29.84190000;29.07890000;28.33780000;27.61760000;26.91800000;26.23890000;25.58030000;24.94130000;24.32160000;23.72060000;23.13760000;22.57230000;22.02450000;21.49350000;20.97880000;20.48000000;19.99660000;19.52790000;19.07350000;18.63290000;18.20570000;17.79140000;17.38950000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;74.12890000;72.27430000;70.14270000;68.08390000;66.13110000;64.41910000;63.13010000;62.30950000;62.12430000;62.66850000;64.02810000;66.02170000;67.87650000;71.64730000;73.18380000;75.25610000;77.08500000;80.22880000;82.37090000;82.07170000;78.33820000;73.89400000;68.06680000;62.19250000;54.75110000;48.13000000;44.33480000;42.58780000;41.28910000;40.17020000;39.06400000;38.18580000;37.54130000;37.05850000;34.07720000;33.85140000;39.49750000;40.07880000;39.04740000;37.97380000;36.92400000;35.90550000;34.92740000;33.99360000;33.10050000;32.23940000;31.40640000;30.59880000;29.81310000;29.05050000;28.30980000;27.59020000;26.89110000;26.21280000;25.55490000;24.91680000;24.29790000;23.69780000;23.11570000;22.55140000;22.00440000;21.47430000;20.96050000;20.46250000;19.97990000;19.51200000;19.05830000;18.61830000;18.19180000;17.77810000;17.37690000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;74.13730000;72.30790000;70.21800000;68.25460000;66.50050000;65.08760000;64.24940000;63.99680000;64.38030000;65.55570000;67.35850000;69.71740000;71.83580000;75.66480000;77.18470000;79.11560000;80.70980000;83.64060000;85.62670000;84.98760000;81.08580000;76.24760000;70.10540000;63.82670000;55.88390000;48.81990000;44.75090000;42.89790000;41.53910000;40.37950000;39.22520000;38.31800000;37.66390000;37.18280000;34.20510000;33.98290000;39.63140000;40.21020000;39.17350000;38.08280000;37.01700000;35.98600000;34.99740000;34.05680000;33.16080000;32.29850000;31.46480000;30.65670000;29.87060000;29.10710000;28.36570000;27.64520000;26.94500000;26.26510000;25.60550000;24.96560000;24.34500000;23.74310000;23.15910000;22.59300000;22.04420000;21.51240000;20.99700000;20.49750000;20.01330000;19.54400000;19.08900000;18.64770000;18.21990000;17.80500000;17.40270000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total AIDS deaths;Mean;9.29881000;45.13360000;130.28300000;348.40300000;864.88700000;1966.56000000;4102.71000000;7907.81000000;14075.80000000;23305.60000000;36186.90000000;53027.40000000;73888.30000000;98088.50000000;125791.00000000;155876.00000000;184422.00000000;213562.00000000;241626.00000000;269125.00000000;277908.00000000;272515.00000000;255171.00000000;234204.00000000;209605.00000000;178430.00000000;146466.00000000;117744.00000000;101915.00000000;94128.50000000;90687.90000000;86582.40000000;81929.60000000;77900.30000000;74730.80000000;70983.20000000;66417.70000000;61668.00000000;57481.00000000;54018.00000000;51165.50000000;49005.30000000;47363.00000000;46180.20000000;45465.60000000;45039.10000000;44800.80000000;44626.30000000;44476.40000000;44328.70000000;44168.50000000;43985.90000000;43774.20000000;43528.80000000;43247.00000000;42927.40000000;42569.70000000;42174.00000000;41740.70000000;41270.50000000;40764.00000000;40221.90000000;39645.30000000;39035.00000000;38392.10000000;37717.40000000;37012.20000000;36277.50000000;35514.80000000;34725.30000000;33910.90000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
