;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infant mortality rate (/1000);Mean;53.60190000000000000;52.45200000000000000;50.92840000000000000;49.48250000000000000;48.12710000000000000;46.96430000000000000;46.22470000000000000;45.87280000000000000;45.98860000000000000;46.55520000000000000;47.48760000000000000;48.78260000000000000;49.69240000000000000;51.89500000000000000;51.93210000000000000;52.10760000000000000;52.41860000000000000;54.84640000000000000;56.20460000000000000;55.30250000000000000;52.82940000000000000;49.89480000000000000;45.43070000000000000;41.14130000000000000;36.27540000000000000;32.71130000000000000;31.01580000000000000;30.26280000000000000;29.59010000000000000;28.92520000000000000;28.30030000000000000;27.82460000000000000;27.43580000000000000;27.17660000000000000;25.09150000000000000;24.94810000000000000;29.03660000000000000;29.30190000000000000;28.53700000000000000;27.76730000000000000;27.01880000000000000;26.28930000000000000;25.58540000000000000;24.90840000000000000;24.25700000000000000;23.62760000000000000;23.01830000000000000;22.42750000000000000;21.85190000000000000;21.29280000000000000;20.74930000000000000;20.22070000000000000;19.70680000000000000;19.20790000000000000;18.72370000000000000;18.25370000000000000;17.79770000000000000;17.35520000000000000;16.92580000000000000;16.50920000000000000;16.10520000000000000;15.71350000000000000;15.33370000000000000;14.96540000000000000;14.60820000000000000;14.26170000000000000;13.92550000000000000;13.59920000000000000;13.28260000000000000;12.97530000000000000;12.67700000000000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;53.59750000000000000;52.43820000000000000;50.90320000000000000;49.43340000000000000;48.02110000000000000;46.74110000000000000;45.81550000000000000;45.25710000000000000;45.21120000000000000;45.65140000000000000;46.52880000000000000;47.78870000000000000;48.70380000000000000;50.94050000000000000;50.92630000000000000;51.11280000000000000;51.42750000000000000;53.86530000000000000;55.26810000000000000;54.40410000000000000;52.02110000000000000;49.15280000000000000;44.81430000000000000;40.66350000000000000;35.96560000000000000;32.53910000000000000;30.90620000000000000;30.17280000000000000;29.51470000000000000;28.86760000000000000;28.25620000000000000;27.78980000000000000;27.40360000000000000;27.14470000000000000;25.05910000000000000;24.91570000000000000;29.00140000000000000;29.26790000000000000;28.50520000000000000;27.73930000000000000;26.99410000000000000;26.26760000000000000;25.56600000000000000;24.89110000000000000;24.24070000000000000;23.61210000000000000;23.00340000000000000;22.41310000000000000;21.83790000000000000;21.27920000000000000;20.73620000000000000;20.20810000000000000;19.69470000000000000;19.19620000000000000;18.71240000000000000;18.24290000000000000;17.78730000000000000;17.34520000000000000;16.91620000000000000;16.49990000000000000;16.09630000000000000;15.70490000000000000;15.32540000000000000;14.95740000000000000;14.60050000000000000;14.25430000000000000;13.91830000000000000;13.59230000000000000;13.27600000000000000;12.96900000000000000;12.67100000000000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;53.60640000000000000;52.46590000000000000;50.95580000000000000;49.54600000000000000;48.28240000000000000;47.28660000000000000;46.84730000000000000;46.75840000000000000;47.07060000000000000;47.81490000000000000;48.85370000000000000;50.20720000000000000;51.11870000000000000;53.33950000000000000;53.39560000000000000;53.62360000000000000;53.89740000000000000;56.20450000000000000;57.40370000000000000;56.33630000000000000;53.81230000000000000;50.77690000000000000;46.14560000000000000;41.74470000000000000;36.65230000000000000;32.91490000000000000;31.14320000000000000;30.36740000000000000;29.68020000000000000;28.99740000000000000;28.34940000000000000;27.86330000000000000;27.47050000000000000;27.21090000000000000;25.12620000000000000;24.98270000000000000;29.07580000000000000;29.34030000000000000;28.57310000000000000;27.79900000000000000;27.04640000000000000;26.31320000000000000;25.60650000000000000;24.92750000000000000;24.27500000000000000;23.64490000000000000;23.03510000000000000;22.44380000000000000;21.86780000000000000;21.30820000000000000;20.76420000000000000;20.23520000000000000;19.72080000000000000;19.22140000000000000;18.73670000000000000;18.26630000000000000;17.80990000000000000;17.36690000000000000;16.93700000000000000;16.52000000000000000;16.11570000000000000;15.72360000000000000;15.34340000000000000;14.97470000000000000;14.61720000000000000;14.27040000000000000;13.93390000000000000;13.60730000000000000;13.29050000000000000;12.98290000000000000;12.68430000000000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Under-5 mortality rate (/1000);Mean;74.13380000000000000;72.29050000000000000;70.16630000000000000;68.10970000000000000;66.15600000000000000;64.45070000000000000;63.27420000000000000;62.68520000000000000;62.84550000000000000;63.76520000000000000;65.33920000000000000;67.51380000000000000;69.50180000000000000;73.27780000000000000;74.80210000000000000;76.78860000000000000;78.47590000000000000;81.53020000000000000;83.52330000000000000;83.02480000000000000;79.19780000000000000;74.60610000000000000;68.67700000000000000;62.69170000000000000;55.09890000000000000;48.33600000000000000;44.46770000000000000;42.69330000000000000;41.37790000000000000;40.24900000000000000;39.12800000000000000;38.24020000000000000;37.59380000000000000;37.11460000000000000;34.13650000000000000;33.91350000000000000;39.56050000000000000;40.14270000000000000;39.11140000000000000;38.03280000000000000;36.97770000000000000;35.95430000000000000;34.97290000000000000;34.03720000000000000;33.14380000000000000;32.28300000000000000;31.45050000000000000;30.64350000000000000;29.85850000000000000;29.09640000000000000;28.35620000000000000;27.63680000000000000;26.93800000000000000;26.25970000000000000;25.60180000000000000;24.96360000000000000;24.34460000000000000;23.74410000000000000;23.16170000000000000;22.59700000000000000;22.04960000000000000;21.51900000000000000;21.00470000000000000;20.50610000000000000;20.02280000000000000;19.55430000000000000;19.09990000000000000;18.65930000000000000;18.23200000000000000;17.81760000000000000;17.41560000000000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;74.12950000000000000;72.27440000000000000;70.13390000000000000;68.04560000000000000;66.02010000000000000;64.16170000000000000;62.72790000000000000;61.82060000000000000;61.69010000000000000;62.38740000000000000;63.80370000000000000;65.88610000000000000;67.84860000000000000;71.67850000000000000;73.22600000000000000;75.16000000000000000;76.88960000000000000;79.94970000000000000;81.98420000000000000;81.56890000000000000;77.83760000000000000;73.39770000000000000;67.61420000000000000;61.79630000000000000;54.45610000000000000;47.93320000000000000;44.21390000000000000;42.50370000000000000;41.22680000000000000;40.12860000000000000;39.03540000000000000;38.16800000000000000;37.52840000000000000;37.05160000000000000;34.07350000000000000;33.85000000000000000;39.49420000000000000;40.07710000000000000;39.04780000000000000;37.97710000000000000;36.92970000000000000;35.91320000000000000;34.93680000000000000;34.00490000000000000;33.11330000000000000;32.25390000000000000;31.42240000000000000;30.61620000000000000;29.83190000000000000;29.07050000000000000;28.33110000000000000;27.61250000000000000;26.91450000000000000;26.23700000000000000;25.57980000000000000;24.94230000000000000;24.32410000000000000;23.72440000000000000;23.14270000000000000;22.57870000000000000;22.03210000000000000;21.50230000000000000;20.98880000000000000;20.49100000000000000;20.00820000000000000;19.54000000000000000;19.08610000000000000;18.64600000000000000;18.21930000000000000;17.80550000000000000;17.40400000000000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;74.13840000000000000;72.30680000000000000;70.20090000000000000;68.18740000000000000;66.35370000000000000;64.87100000000000000;64.07590000000000000;63.92810000000000000;64.49750000000000000;65.66460000000000000;67.50340000000000000;69.80360000000000000;71.83960000000000000;75.57050000000000000;77.10990000000000000;79.22580000000000000;80.83070000000000000;83.85550000000000000;85.60630000000000000;84.82750000000000000;80.83290000000000000;76.04430000000000000;69.94540000000000000;63.74790000000000000;55.87780000000000000;48.81410000000000000;44.75980000000000000;42.91040000000000000;41.55700000000000000;40.39760000000000000;39.22790000000000000;38.31810000000000000;37.66300000000000000;37.18140000000000000;34.20350000000000000;33.98130000000000000;39.63380000000000000;40.21470000000000000;39.18100000000000000;38.09340000000000000;37.02970000000000000;35.99900000000000000;35.01230000000000000;34.07320000000000000;33.17780000000000000;32.31580000000000000;31.48250000000000000;30.67480000000000000;29.88910000000000000;29.12630000000000000;28.38530000000000000;27.66520000000000000;26.96550000000000000;26.28640000000000000;25.62760000000000000;24.98850000000000000;24.36860000000000000;23.76730000000000000;23.18400000000000000;22.61850000000000000;22.07030000000000000;21.53890000000000000;21.02380000000000000;20.52450000000000000;20.04050000000000000;19.57140000000000000;19.11640000000000000;18.67520000000000000;18.24730000000000000;17.83240000000000000;17.42990000000000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total AIDS deaths;Mean;10.86630000000000000;47.80990000000000000;116.33700000000000000;266.78800000000000000;615.42200000000000000;1419.54000000000000000;3170.01000000000000000;6615.87000000000000000;12586.20000000000000000;21870.70000000000000000;35096.30000000000000000;52540.60000000000000000;74159.70000000000000000;99152.20000000000000000;127565.00000000000000000;158209.00000000000000000;187138.00000000000000000;216503.00000000000000000;244640.00000000000000000;272072.00000000000000000;280683.00000000000000000;275071.00000000000000000;257463.00000000000000000;236227.00000000000000000;211401.00000000000000000;179960.00000000000000000;147678.00000000000000000;118615.00000000000000000;102634.00000000000000000;94780.80000000000000000;91304.10000000000000000;87158.50000000000000000;82481.70000000000000000;78486.50000000000000000;75399.30000000000000000;71745.20000000000000000;67171.10000000000000000;62341.70000000000000000;58055.50000000000000000;54515.30000000000000000;51609.00000000000000000;49417.10000000000000000;47760.20000000000000000;46577.70000000000000000;45879.40000000000000000;45479.60000000000000000;45275.50000000000000000;45139.00000000000000000;45029.50000000000000000;44923.70000000000000000;44806.40000000000000000;44667.60000000000000000;44500.20000000000000000;44299.50000000000000000;44062.90000000000000000;43788.70000000000000000;43476.70000000000000000;43126.70000000000000000;42739.30000000000000000;42314.80000000000000000;41853.90000000000000000;41357.40000000000000000;40826.00000000000000000;40260.50000000000000000;39661.80000000000000000;39030.90000000000000000;38368.60000000000000000;37676.20000000000000000;36954.60000000000000000;36205.40000000000000000;35430.00000000000000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
