;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infant mortality rate (/1000);Mean;53.60120000;52.44920000;50.92120000;49.46430000;48.08550000;46.88500000;46.10290000;45.71030000;45.77850000;46.29490000;47.19090000;48.47110000;49.38540000;51.61010000;51.67920000;51.89340000;52.24650000;54.71890000;56.12230000;55.26500000;52.82330000;49.91240000;45.46280000;41.18090000;36.30950000;32.73520000;31.03450000;30.27940000;29.60430000;28.93690000;28.30930000;27.83220000;27.44270000;27.18340000;25.09850000;24.95500000;29.04450000;29.30970000;28.54410000;27.77350000;27.02410000;26.29370000;25.58920000;24.91170000;24.26010000;23.63050000;23.02110000;22.43010000;21.85440000;21.29510000;20.75150000;20.22280000;19.70880000;19.20970000;18.72530000;18.25520000;17.79910000;17.35640000;16.92680000;16.51010000;16.10600000;15.71420000;15.33420000;14.96580000;14.60840000;14.26190000;13.92560000;13.59920000;13.28260000;12.97530000;12.67690000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;53.59540000;52.43110000;50.88840000;49.40040000;47.96370000;46.67500000;45.73380000;45.09020000;44.93030000;45.27780000;46.03630000;47.20020000;47.98950000;50.14630000;50.20440000;50.37440000;50.73550000;53.31230000;54.84360000;54.12920000;51.80710000;48.99380000;44.65730000;40.59270000;35.96030000;32.55240000;30.92520000;30.19090000;29.53000000;28.87650000;28.26700000;27.79830000;27.41220000;27.15280000;25.06710000;24.92350000;29.01180000;29.27760000;28.51360000;27.74700000;27.00160000;26.27470000;25.57270000;24.89690000;24.24650000;23.61750000;23.00870000;22.41830000;21.84320000;21.28440000;20.74130000;20.21310000;19.69960000;19.20100000;18.71690000;18.24720000;17.79130000;17.34900000;16.91960000;16.50320000;16.09940000;15.70780000;15.32810000;14.95990000;14.60290000;14.25650000;13.92040000;13.59420000;13.27780000;12.97070000;12.67240000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;53.60480000;52.46020000;50.94060000;49.50040000;48.17090000;47.07260000;46.48370000;46.31980000;46.63870000;47.32890000;48.31610000;49.64210000;50.58550000;52.81640000;52.89530000;53.11310000;53.37770000;55.85040000;57.12660000;56.17590000;53.67140000;50.65440000;46.07750000;41.65410000;36.61180000;32.90020000;31.13890000;30.36590000;29.67790000;28.99720000;28.35380000;27.86910000;27.47700000;27.21830000;25.13460000;24.99190000;29.08050000;29.34500000;28.57670000;27.80100000;27.04700000;26.31270000;25.60530000;24.92620000;24.27380000;23.64370000;23.03390000;22.44270000;21.86670000;21.30700000;20.76310000;20.23400000;19.71960000;19.22010000;18.73540000;18.26490000;17.80840000;17.36530000;16.93540000;16.51830000;16.11400000;15.72180000;15.34170000;14.97300000;14.61540000;14.26850000;13.93200000;13.60550000;13.28880000;12.98140000;12.68290000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Under-5 mortality rate (/1000);Mean;74.13310000;72.28740000;70.15760000;68.08700000;66.10310000;64.34600000;63.10440000;62.44780000;62.53190000;63.36940000;64.87460000;67.00910000;68.98790000;72.78630000;74.35350000;76.39790000;78.15170000;81.27790000;83.34540000;82.92200000;79.15140000;74.60610000;68.71030000;62.74900000;55.15790000;48.38250000;44.50400000;42.72520000;41.40570000;40.27300000;39.14690000;38.25550000;37.60760000;37.12800000;34.15000000;33.92720000;39.57520000;40.15710000;39.12500000;38.04440000;36.98740000;35.96250000;34.97980000;34.04340000;33.14950000;32.28840000;31.45570000;30.64850000;29.86330000;29.10100000;28.36050000;27.64100000;26.94180000;26.26330000;25.60510000;24.96660000;24.34720000;23.74650000;23.16380000;22.59870000;22.05110000;21.52020000;21.00560000;20.50680000;20.02330000;19.55460000;19.10000000;18.65920000;18.23180000;17.81730000;17.41520000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;74.12730000;72.26610000;70.11540000;68.00400000;65.94160000;64.07070000;62.61770000;61.60750000;61.31590000;61.85820000;63.07400000;65.03680000;66.82920000;70.39340000;72.02470000;73.96320000;75.69080000;78.89050000;81.11730000;80.96690000;77.37850000;73.06950000;67.34530000;61.59140000;54.40730000;47.93800000;44.24270000;42.53880000;41.25770000;40.15310000;39.05860000;38.18560000;37.54570000;37.06670000;34.08820000;33.86410000;39.51070000;40.09340000;39.06410000;37.99200000;36.94350000;35.92560000;34.94830000;34.01510000;33.12330000;32.26380000;31.43250000;30.62640000;29.84210000;29.08060000;28.34110000;27.62240000;26.92400000;26.24610000;25.58850000;24.95060000;24.33180000;23.73170000;23.14960000;22.58510000;22.03800000;21.50770000;20.99360000;20.49530000;20.01230000;19.54410000;19.08990000;18.64930000;18.22220000;17.80800000;17.40630000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;74.13670000;72.30030000;70.18240000;68.13480000;66.20950000;64.59020000;63.59640000;63.25360000;63.73860000;64.90490000;66.63200000;68.93760000;70.95510000;74.75930000;76.35110000;78.40170000;80.09440000;83.12400000;85.09490000;84.44480000;80.54160000;75.86330000;69.79800000;63.63350000;55.78840000;48.76960000;44.74470000;42.90320000;41.54930000;40.39280000;39.23850000;38.32970000;37.67600000;37.19630000;34.22040000;34.00020000;39.64950000;40.23040000;39.19460000;38.10330000;37.03590000;36.00190000;35.01270000;34.07200000;33.17610000;32.31420000;31.48090000;30.67330000;29.88760000;29.12480000;28.38380000;27.66360000;26.96380000;26.28460000;25.62560000;24.98630000;24.36620000;23.76470000;23.18120000;22.61550000;22.06720000;21.53560000;21.02020000;20.52080000;20.03670000;19.56730000;19.11250000;18.67160000;18.24400000;17.82930000;17.42700000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total AIDS deaths;Mean;9.94357000;43.07000000;101.77800000;226.65600000;515.55300000;1201.27000000;2756.47000000;5914.45000000;11482.90000000;20238.70000000;32820.20000000;49535.30000000;70401.00000000;94674.80000000;122449.00000000;152591.00000000;181189.00000000;210381.00000000;238530.00000000;266179.00000000;275165.00000000;270046.00000000;253018.00000000;232428.00000000;208239.00000000;177465.00000000;145867.00000000;117471.00000000;101890.00000000;94296.70000000;91031.50000000;87100.60000000;82626.50000000;78786.80000000;75826.50000000;72264.40000000;67677.80000000;62778.50000000;58420.10000000;54817.40000000;51862.80000000;49634.20000000;47950.40000000;46748.50000000;46036.90000000;45627.40000000;45415.60000000;45272.60000000;45157.50000000;45046.50000000;44924.60000000;44781.40000000;44609.70000000;44404.80000000;44163.90000000;43885.30000000;43568.80000000;43214.40000000;42822.40000000;42393.40000000;41927.90000000;41426.90000000;40891.10000000;40321.30000000;39718.50000000;39083.60000000;38417.60000000;37721.60000000;36996.80000000;36244.70000000;35466.70000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
