;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infant mortality rate (/1000);Mean;53.60290000;52.45520000;50.93430000;49.49330000;48.14700000;47.00050000;46.28410000;45.95560000;46.08900000;46.66670000;47.60390000;48.89820000;49.80190000;51.99200000;52.01400000;52.17400000;52.47090000;54.88620000;56.23370000;55.32170000;52.84350000;49.90490000;45.43810000;41.14540000;36.27730000;32.71160000;31.01490000;30.26100000;29.58820000;28.92290000;28.29750000;27.82150000;27.43210000;27.17220000;25.08640000;24.94220000;29.02920000;29.29420000;28.52910000;27.75960000;27.01140000;26.28220000;25.57870000;24.90190000;24.25060000;23.62130000;23.01210000;22.42130000;21.84580000;21.28660000;20.74320000;20.21470000;19.70080000;19.20190000;18.71780000;18.24790000;17.79190000;17.34950000;16.92010000;16.50360000;16.09970000;15.70810000;15.32830000;14.96010000;14.60300000;14.25670000;13.92060000;13.59440000;13.27800000;12.97090000;12.67270000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;53.59630000;52.43440000;50.89650000;49.42160000;48.01120000;46.74590000;45.83600000;45.29420000;45.21570000;45.59700000;46.32070000;47.43740000;48.26670000;50.45760000;50.54470000;50.70020000;51.04000000;53.47940000;55.00000000;54.23870000;51.91320000;49.07830000;44.75220000;40.64020000;35.97290000;32.54760000;30.91600000;30.18240000;29.52480000;28.87210000;28.26110000;27.79070000;27.40420000;27.14450000;25.05840000;24.91350000;28.99770000;29.26360000;28.50050000;27.73490000;26.99090000;26.26530000;25.56390000;24.88860000;24.23820000;23.60950000;23.00070000;22.41020000;21.83500000;21.27630000;20.73320000;20.20500000;19.69150000;19.19290000;18.70910000;18.23960000;17.78390000;17.34180000;16.91270000;16.49640000;16.09280000;15.70140000;15.32200000;14.95400000;14.59710000;14.25090000;13.91500000;13.58910000;13.27280000;12.96590000;12.66800000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;53.60770000;52.47050000;50.96440000;49.55850000;48.29040000;47.29230000;46.79290000;46.72700000;47.04950000;47.80260000;48.88850000;50.23210000;51.18730000;53.34150000;53.37540000;53.43450000;53.62160000;56.04600000;57.37440000;56.33970000;53.79680000;50.74410000;46.13600000;41.67370000;36.60360000;32.88220000;31.11830000;30.34240000;29.65430000;28.97430000;28.33480000;27.85230000;27.46020000;27.20020000;25.11490000;24.97080000;29.05980000;29.32410000;28.55730000;27.78450000;27.03320000;26.30180000;25.59730000;24.91990000;24.26830000;23.63890000;23.02970000;22.43900000;21.86340000;21.30420000;20.76050000;20.23180000;19.71760000;19.21830000;18.73370000;18.26340000;17.80700000;17.36410000;16.93420000;16.51720000;16.11290000;15.72080000;15.34060000;14.97200000;14.61450000;14.26780000;13.93140000;13.60490000;13.28820000;12.98080000;12.68230000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Under-5 mortality rate (/1000);Mean;74.13490000;72.29440000;70.17390000;68.12390000;66.18250000;64.49930000;63.35610000;62.80490000;62.99800000;63.94180000;65.52980000;67.70840000;69.69120000;73.45120000;74.95350000;76.91540000;78.57880000;81.61100000;83.58450000;83.06820000;79.23090000;74.63030000;68.69450000;62.70260000;55.10520000;48.33910000;44.46810000;42.69160000;41.37500000;40.24490000;39.12290000;38.23410000;37.58660000;37.10600000;34.12630000;33.90150000;39.54610000;40.12720000;39.09510000;38.01690000;36.96250000;35.94010000;34.95940000;34.02430000;33.13110000;32.27040000;31.43800000;30.63110000;29.84610000;29.08400000;28.34380000;27.62460000;26.92580000;26.24760000;25.58980000;24.95160000;24.33270000;23.73240000;23.15010000;22.58550000;22.03830000;21.50780000;20.99370000;20.49530000;20.01230000;19.54400000;19.08990000;18.64950000;18.22260000;17.80850000;17.40680000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;74.12830000;72.26990000;70.12550000;68.03020000;66.00490000;64.16340000;62.77710000;61.88500000;61.64230000;62.35310000;63.58190000;65.44550000;67.18210000;70.89920000;72.58570000;74.47670000;76.22780000;79.33930000;81.42560000;81.21520000;77.61360000;73.26970000;67.47800000;61.74560000;54.44320000;47.94790000;44.23270000;42.52420000;41.24890000;40.14090000;39.04530000;38.17150000;37.53000000;37.05010000;34.07010000;33.84430000;39.48510000;40.06800000;39.03880000;37.96840000;36.92210000;35.90610000;34.93100000;33.99920000;33.10850000;32.24850000;31.41680000;30.61020000;29.82560000;29.06390000;28.32400000;27.60530000;26.90710000;26.22940000;25.57240000;24.93500000;24.31640000;23.71660000;23.13500000;22.57100000;22.02420000;21.49440000;20.98080000;20.48300000;20.00040000;19.53260000;19.07860000;18.63870000;18.21210000;17.79850000;17.39720000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;74.13960000;72.31220000;70.21220000;68.20720000;66.36630000;64.87980000;64.04310000;63.85740000;64.40860000;65.64400000;67.48400000;69.86770000;71.90300000;75.69330000;77.12780000;79.11470000;80.56140000;83.44500000;85.46000000;84.82390000;80.79570000;76.03880000;69.91090000;63.68930000;55.79100000;48.74710000;44.70970000;42.86390000;41.50820000;40.34880000;39.20150000;38.29720000;37.64350000;37.16250000;34.18270000;33.95850000;39.60770000;40.18790000;39.15340000;38.06570000;37.00570000;35.97680000;34.99350000;34.05750000;33.16430000;32.30380000;31.47180000;30.66520000;29.88040000;29.11840000;28.37810000;27.65850000;26.95930000;26.28060000;25.62200000;24.98310000;24.36340000;23.76220000;23.17890000;22.61340000;22.06520000;21.53390000;21.01880000;20.51960000;20.03570000;19.56670000;19.11190000;18.67080000;18.24310000;17.82840000;17.42610000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total AIDS deaths;Mean;12.19200000;53.59020000;129.58400000;293.68500000;667.45400000;1516.92000000;3342.42000000;6894.06000000;12989.90000000;22403.50000000;35742.50000000;53264.70000000;74911.90000000;99873.50000000;128205.00000000;158726.00000000;187509.00000000;216718.00000000;244706.00000000;272001.00000000;280507.00000000;274822.00000000;257172.00000000;235913.00000000;211085.00000000;179653.00000000;147392.00000000;118363.00000000;102416.00000000;94548.80000000;91016.50000000;86798.60000000;82034.40000000;77929.70000000;74701.70000000;70908.70000000;66303.60000000;61531.60000000;57352.40000000;53909.70000000;51086.00000000;48955.20000000;47342.10000000;46187.20000000;45497.80000000;45095.70000000;44881.40000000;44731.40000000;44606.80000000;44485.10000000;44351.60000000;44196.50000000;44012.90000000;43796.40000000;43544.20000000;43255.00000000;42928.30000000;42564.30000000;42163.30000000;41726.00000000;41253.00000000;40745.00000000;40202.80000000;39627.40000000;39019.60000000;38380.40000000;37710.70000000;37011.60000000;36284.40000000;35530.50000000;34751.30000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
