;;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortality statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infant mortality rate (/1000);Mean;53.60280000;52.45530000;50.93510000;49.49500000;48.14740000;46.99010000;46.24430000;45.86780000;45.95160000;46.49780000;47.43150000;48.74700000;49.69040000;51.93270000;52.00880000;52.22030000;52.56100000;55.01260000;56.38770000;55.49650000;53.02130000;50.07170000;45.58350000;41.26100000;36.35150000;32.75170000;31.03990000;30.28050000;29.60260000;28.93310000;28.30430000;27.82650000;27.43640000;27.17610000;25.09000000;24.94550000;29.03460000;29.29930000;28.53370000;27.76350000;27.01460000;26.28480000;25.58070000;24.90330000;24.25160000;23.62190000;23.01230000;22.42110000;21.84520000;21.28570000;20.74190000;20.21310000;19.69890000;19.19960000;18.71520000;18.24500000;17.78880000;17.34610000;16.91640000;16.49970000;16.09570000;15.70390000;15.32400000;14.95560000;14.59840000;14.25190000;13.91580000;13.58950000;13.27300000;12.96590000;12.66770000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;53.59790000;52.43980000;50.90720000;49.43720000;48.03790000;46.77320000;45.84620000;45.29010000;45.11880000;45.37350000;46.19770000;47.39780000;48.28170000;50.50920000;50.53980000;50.84560000;51.24850000;53.74540000;55.21890000;54.43440000;52.04720000;49.20700000;44.84770000;40.70870000;36.00500000;32.55960000;30.92360000;30.18940000;29.52730000;28.87070000;28.25920000;27.79140000;27.40570000;27.14690000;25.06070000;24.91590000;29.00330000;29.26910000;28.50560000;27.73950000;26.99420000;26.26680000;25.56530000;24.89010000;24.23900000;23.60960000;23.00020000;22.40920000;21.83360000;21.27440000;20.73090000;20.20240000;19.68870000;19.18980000;18.70580000;18.23600000;17.78030000;17.33800000;16.90880000;16.49240000;16.08860000;15.69710000;15.31750000;14.94940000;14.59240000;14.24620000;13.91030000;13.58430000;13.26810000;12.96120000;12.66330000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;53.60750000;52.47010000;50.96010000;49.54560000;48.24930000;47.19460000;46.64890000;46.51240000;46.84250000;47.60700000;48.69490000;50.09770000;51.08550000;53.39260000;53.45760000;53.62240000;53.90200000;56.19290000;57.51290000;56.50780000;53.96670000;50.88720000;46.23710000;41.77190000;36.65540000;32.92080000;31.15530000;30.37780000;29.68480000;29.00000000;28.35430000;27.86660000;27.47250000;27.21200000;25.12730000;24.98360000;29.07250000;29.33610000;28.56850000;27.79480000;27.04220000;26.30760000;25.60000000;24.92090000;24.26820000;23.63780000;23.02800000;22.43640000;21.86010000;21.30010000;20.75570000;20.22620000;19.71140000;19.21160000;18.72660000;18.25590000;17.79930000;17.35620000;16.92610000;16.50900000;16.10450000;15.71230000;15.33200000;14.96320000;14.60560000;14.25880000;13.92230000;13.59580000;13.27900000;12.97160000;12.67330000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Under-5 mortality rate (/1000);Mean;74.13480000;72.29440000;70.17480000;68.12610000;66.18360000;64.48830000;63.30820000;62.69040000;62.80380000;63.68340000;65.24330000;67.43460000;69.46500000;73.29950000;74.88660000;76.93390000;78.67380000;81.77230000;83.79960000;83.32510000;79.49980000;74.89160000;68.93410000;62.90890000;55.25500000;48.43100000;44.52420000;42.73150000;41.40390000;40.26590000;39.13700000;38.24430000;37.59490000;37.11330000;34.13310000;33.90770000;39.55420000;40.13480000;39.10220000;38.02270000;36.96720000;35.94370000;34.96220000;34.02620000;33.13230000;32.27090000;31.43780000;30.63020000;29.84450000;29.08180000;28.34090000;27.62100000;26.92150000;26.24270000;25.58430000;24.94550000;24.32610000;23.72530000;23.14250000;22.57750000;22.02990000;21.49910000;20.98460000;20.48600000;20.00270000;19.53420000;19.07990000;18.63940000;18.21220000;17.79800000;17.39630000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% LL;74.12990000;72.27620000;70.13890000;68.05200000;66.04190000;64.20480000;62.78240000;61.87920000;61.67030000;62.06320000;63.26270000;65.33220000;67.22880000;71.01280000;72.56610000;74.61180000;76.50690000;79.69800000;81.81500000;81.56560000;77.86360000;73.43490000;67.65700000;61.87790000;54.53900000;47.98320000;44.24600000;42.54070000;41.25390000;40.14110000;39.04380000;38.17250000;37.53240000;37.05590000;34.07560000;33.84860000;39.49430000;40.07700000;39.04740000;37.97570000;36.92730000;35.90950000;34.93310000;34.00060000;33.10770000;32.24680000;31.41420000;30.60710000;29.82200000;29.05970000;28.31940000;27.60010000;26.90140000;26.22340000;25.56570000;24.92770000;24.30890000;23.70870000;23.12670000;22.56240000;22.01550000;21.48540000;20.97160000;20.47350000;19.99080000;19.52290000;19.06920000;18.62930000;18.20260000;17.78880000;17.38740000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
;95% UL;74.13950000;72.31150000;70.20720000;68.19160000;66.31420000;64.75620000;63.81190000;63.55860000;64.05570000;65.33200000;67.21170000;69.61330000;71.66000000;75.69710000;77.28810000;79.26260000;80.92690000;83.82220000;85.70070000;85.03110000;81.09400000;76.30210000;70.09850000;63.84390000;55.90490000;48.80940000;44.77220000;42.92710000;41.56530000;40.40140000;39.24040000;38.32740000;37.66960000;37.18620000;34.20790000;33.98420000;39.63100000;40.21180000;39.17790000;38.09060000;37.02190000;35.98930000;35.00010000;34.06090000;33.16520000;32.30260000;31.46860000;30.66010000;29.87340000;29.10960000;28.36770000;27.64680000;26.94690000;26.26750000;25.60840000;24.96890000;24.34860000;23.74690000;23.16330000;22.59730000;22.04880000;21.51700000;21.00170000;20.50220000;20.01810000;19.54880000;19.09380000;18.65260000;18.22480000;17.81010000;17.40800000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
Total AIDS deaths;Mean;12.02680000;53.18640000;129.27800000;292.86300000;659.84700000;1477.19000000;3205.38000000;6541.31000000;12265.90000000;21150.90000000;33839.90000000;50658.20000000;71648.00000000;96071.60000000;124027.00000000;154355.00000000;183110.00000000;212409.00000000;240587.00000000;268180.00000000;277026.00000000;271683.00000000;254374.00000000;233452.00000000;208908.00000000;177787.00000000;145882.00000000;117234.00000000;101454.00000000;93675.60000000;90223.40000000;86122.70000000;81497.30000000;77489.00000000;74329.10000000;70596.40000000;66059.60000000;61347.00000000;57207.80000000;53788.30000000;50975.30000000;48847.30000000;47231.90000000;46071.00000000;45371.70000000;44956.90000000;44727.90000000;44562.50000000;44421.90000000;44283.70000000;44133.40000000;43961.10000000;43760.10000000;43526.00000000;43256.00000000;42948.70000000;42603.70000000;42221.20000000;41801.60000000;41345.40000000;40853.20000000;40325.90000000;39764.20000000;39169.10000000;38541.60000000;37882.50000000;37193.00000000;36474.20000000;35727.30000000;34953.80000000;34155.30000000;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         ;         
