Finished reading inputs
Log likelihood: -1477.88
Completed simulation 1
Log likelihood: -2112.16
Log likelihood: -11155.2
Log likelihood: -1284.65
Log likelihood: -539.246
Log likelihood: -1543.57
Log likelihood: -2111.32
Log likelihood: -1720.54
Log likelihood: -20040.5
Log likelihood: -2895.6
Log likelihood: -1812.48
Log likelihood: -429.665
Log likelihood: -40850.4
Log likelihood: -8625.7
Log likelihood: -809.476
Log likelihood: -4256.43
Log likelihood: -3163.95
Log likelihood: -292.197
Log likelihood: -1530.62
Log likelihood: -4421.02
Log likelihood: -1798.14
Log likelihood: -941.493
Log likelihood: -2518.86
Log likelihood: -10278.7
Log likelihood: -410.73
Log likelihood: -17300.6
Log likelihood: -189.895
Log likelihood: -14851.4
Log likelihood: -1652.78
Log likelihood: -438.982
Log likelihood: -16973.8
Log likelihood: -10854.1
Log likelihood: -1129.44
Log likelihood: -15102.7
Log likelihood: -13282.3
Log likelihood: -7248.33
Log likelihood: -14181.2
Log likelihood: -1508.2
Log likelihood: -3091.1
Log likelihood: -20689
Log likelihood: -16704.6
Log likelihood: -16113.3
Log likelihood: -655.319
Log likelihood: -5172.62
Log likelihood: -842.079
Log likelihood: -3247
Log likelihood: -294.028
Log likelihood: -732.748
Log likelihood: -936.42
Log likelihood: -730.238
Log likelihood: -2074.11
Log likelihood: -264.235
Log likelihood: -17092.8
Log likelihood: -1348.38
Log likelihood: -2263.14
Log likelihood: -17382.3
Log likelihood: -12214.3
Log likelihood: -950.245
Log likelihood: -5676.51
Log likelihood: -935.93
Log likelihood: -15161.2
Log likelihood: -7565.25
Log likelihood: -16606
Log likelihood: -674.713
Log likelihood: -8087.68
Log likelihood: -577.51
Log likelihood: -12846.3
Log likelihood: -9803.46
Log likelihood: -4404.3
Log likelihood: -17941.2
Log likelihood: -17436.2
Log likelihood: -1893.34
Log likelihood: -248.106
Log likelihood: -344.542
Log likelihood: -13026.8
Log likelihood: -5574.24
Log likelihood: -851.156
Log likelihood: -24563
Log likelihood: -1762.31
Log likelihood: -654.953
Log likelihood: -906.117
Log likelihood: -807.432
Log likelihood: -2640.98
Log likelihood: -1438.96
Log likelihood: -12791.9
Log likelihood: -6308.74
Log likelihood: -19791.5
Log likelihood: -1095.95
Log likelihood: -989.508
Log likelihood: -6458.04
Log likelihood: -35969.9
Log likelihood: -26874.1
Log likelihood: -692.431
Log likelihood: -2120.75
Log likelihood: -1045.15
Log likelihood: -5871.33
Log likelihood: -1851.65
Log likelihood: -6464.5
Log likelihood: -1294.49
Log likelihood: -633.262
Log likelihood: -2843.06
Completed simulation 101
Log likelihood: -1503.81
Log likelihood: -917.598
Log likelihood: -4217.92
Log likelihood: -15493.4
Log likelihood: -8465.19
