Read input files
Log likelihood: -68.2811
Log likelihood: -65.5017
Log likelihood: -63.2571
Log likelihood: -72.0964
Log likelihood: -64.5072
Log likelihood: -69.0428
Log likelihood: -68.2564
Log likelihood: -65.502
Log likelihood: -71.3554
Log likelihood: -72.5868
Log likelihood: -62.1862
Log likelihood: -73.3888
Log likelihood: -65.715
Log likelihood: -65.1813
Log likelihood: -66.1808
Log likelihood: -61.8302
Log likelihood: -78.9076
Log likelihood: -65.1453
Log likelihood: -67.2844
Log likelihood: -61.768
Log likelihood: -69.3054
Log likelihood: -66.5198
Log likelihood: -64.6354
Log likelihood: -69.7213
Log likelihood: -66.1731
Log likelihood: -63.189
Log likelihood: -66.088
Log likelihood: -65.3919
Log likelihood: -63.8444
Log likelihood: -64.2468
Log likelihood: -67.5611
Log likelihood: -68.9116
Log likelihood: -69.3374
Log likelihood: -70.3839
Log likelihood: -67.282
Log likelihood: -83.1488
Log likelihood: -66.5493
Log likelihood: -75.0894
Log likelihood: -69.5651
Log likelihood: -63.6578
Log likelihood: -64.4039
Log likelihood: -63.7297
Log likelihood: -61.8187
Log likelihood: -70.5912
Log likelihood: -63.0173
Log likelihood: -71.297
Log likelihood: -74.43
Log likelihood: -66.0747
Log likelihood: -65.3074
Log likelihood: -67.5939
Log likelihood: -75.0894
Log likelihood: -65.4806
Log likelihood: -72.945
Log likelihood: -63.928
Log likelihood: -63.1661
Log likelihood: -78.987
Log likelihood: -67.246
Log likelihood: -64.1318
Log likelihood: -69.6729
Log likelihood: -65.2054
Log likelihood: -66.0747
Log likelihood: -68.2826
Log likelihood: -70.4247
Log likelihood: -72.5868
Log likelihood: -63.8945
Log likelihood: -69.2703
Log likelihood: -64.7682
Log likelihood: -71.3554
Log likelihood: -67.2844
Log likelihood: -73.2484
Log likelihood: -66.6003
Log likelihood: -69.2703
Log likelihood: -63.3523
Log likelihood: -66.3914
Log likelihood: -67.5611
Log likelihood: -71.3378
Log likelihood: -70.6596
Log likelihood: -68.0619
Log likelihood: -69.2486
Log likelihood: -65.7991
Log likelihood: -68.0536
Log likelihood: -66.0747
Log likelihood: -68.1018
Log likelihood: -67.2844
Log likelihood: -63.7902
Log likelihood: -67.957
Log likelihood: -74.1647
Log likelihood: -64.8503
Log likelihood: -69.0541
Log likelihood: -71.3554
Log likelihood: -70.6969
Log likelihood: -64.6547
Log likelihood: -64.1832
Log likelihood: -70.9668
Log likelihood: -65.5017
Log likelihood: -65.502
Log likelihood: -71.3554
Log likelihood: -70.7761
Log likelihood: -64.0269
Log likelihood: -72.5868
Completed simulation 100
Log likelihood: -66.7474
Log likelihood: -64.4492
Log likelihood: -73.2448
Log likelihood: -62.6333
Log likelihood: -65.4826
Log likelihood: -75.1986
Log likelihood: -63.1661
Log likelihood: -64.7502
Log likelihood: -61.5481
Log likelihood: -71.7077
Log likelihood: -66.1909
Log likelihood: -63.2571
Log likelihood: -67.3994
Log likelihood: -63.1817
Log likelihood: -63.1661
Log likelihood: -68.0619
Log likelihood: -73.3888
Log likelihood: -63.7885
Log likelihood: -68.0619
Log likelihood: -65.4966
Log likelihood: -69.2703
Log likelihood: -63.6027
Log likelihood: -63.1661
Log likelihood: -65.1453
Log likelihood: -73.8512
Log likelihood: -64.133
Log likelihood: -70.058
Log likelihood: -68.2826
Log likelihood: -70.28
Log likelihood: -65.1453
Log likelihood: -68.0619
Log likelihood: -73.1295
Log likelihood: -69.5651
Log likelihood: -71.1545
Log likelihood: -83.1488
Log likelihood: -71.3554
Log likelihood: -73.7373
Log likelihood: -70.911
Log likelihood: -61.7995
Log likelihood: -73.3717
Log likelihood: -65.0216
Log likelihood: -72.5868
Log likelihood: -67.2844
Log likelihood: -64.1832
Log likelihood: -66.2388
Log likelihood: -74.4666
Log likelihood: -69.5651
Log likelihood: -61.5481
Log likelihood: -62.8466
Log likelihood: -64.578
Log likelihood: -72.5868
Log likelihood: -66.4745
Log likelihood: -64.1832
Log likelihood: -65.3847
Log likelihood: -62.4729
Log likelihood: -68.6929
Log likelihood: -73.3391
Log likelihood: -65.3074
Log likelihood: -72.5868
Log likelihood: -64.1832
Log likelihood: -64.0346
Log likelihood: -65.8949
Log likelihood: -73.5028
Log likelihood: -66.1731
Log likelihood: -68.3404
Log likelihood: -66.3914
Log likelihood: -65.7991
Log likelihood: -63.6578
Log likelihood: -72.6121
Log likelihood: -71.3554
Log likelihood: -66.3177
Log likelihood: -63.2551
Log likelihood: -70.5912
Log likelihood: -70.058
Log likelihood: -68.3267
Log likelihood: -67.2844
Log likelihood: -63.4867
Log likelihood: -65.502
Log likelihood: -66.5083
Log likelihood: -66.4769
Log likelihood: -67.2844
Log likelihood: -66.106
Log likelihood: -65.4826
Log likelihood: -64.0269
Log likelihood: -69.7523
Log likelihood: -61.5481
Log likelihood: -65.1453
Log likelihood: -72.5868
Log likelihood: -73.2484
Log likelihood: -65.3074
Log likelihood: -72.0964
Log likelihood: -65.6703
Log likelihood: -65.7991
Log likelihood: -66.6176
Log likelihood: -76.4955
Log likelihood: -67.5096
Log likelihood: -66.6323
Log likelihood: -62.613
Log likelihood: -68.0058
Log likelihood: -64.2397
Completed simulation 200
Log likelihood: -63.189
Log likelihood: -67.2844
Log likelihood: -70.6596
Log likelihood: -70.0115
Log likelihood: -70.058
Log likelihood: -65.4826
Log likelihood: -69.2703
Log likelihood: -66.2582
Log likelihood: -70.6448
Log likelihood: -72.8843
Log likelihood: -65.9676
Log likelihood: -68.1198
Log likelihood: -75.0894
Log likelihood: -69.3054
Log likelihood: -65.9676
Log likelihood: -72.5868
Log likelihood: -67.0461
Log likelihood: -62.7522
Log likelihood: -69.2703
Log likelihood: -70.3556
Log likelihood: -61.5481
Log likelihood: -65.7991
Log likelihood: -75.0894
Log likelihood: -63.0125
Log likelihood: -68.3404
Log likelihood: -66.3914
Log likelihood: -71.3554
Log likelihood: -67.7163
Log likelihood: -66.0747
Log likelihood: -67.957
Log likelihood: -74.2861
Log likelihood: -72.0964
Log likelihood: -65.1453
Log likelihood: -72.9839
Log likelihood: -63.1661
Log likelihood: -65.7991
Log likelihood: -67.5611
Log likelihood: -64.2752
Log likelihood: -65.3074
Log likelihood: -63.7297
Log likelihood: -64.2397
Log likelihood: -68.1335
Log likelihood: -66.7252
Log likelihood: -61.5481
Log likelihood: -66.1675
Log likelihood: -65.9676
Log likelihood: -69.7523
Log likelihood: -64.7775
Log likelihood: -67.5643
Log likelihood: -69.0541
Log likelihood: -68.3404
Log likelihood: -68.0962
Log likelihood: -66.2858
Log likelihood: -63.7987
Log likelihood: -65.8949
Log likelihood: -66.5083
Log likelihood: -65.2038
Log likelihood: -62.1757
Log likelihood: -71.297
Log likelihood: -66.9232
Log likelihood: -69.7523
Log likelihood: -69.2703
Log likelihood: -72.5868
Log likelihood: -73.2484
Log likelihood: -68.3404
Log likelihood: -65.502
Log likelihood: -65.3074
Log likelihood: -65.9012
Log likelihood: -69.0209
Log likelihood: -69.0465
Log likelihood: -64.1832
Log likelihood: -66.088
Log likelihood: -68.1335
Log likelihood: -63.2551
Log likelihood: -64.1832
Log likelihood: -68.1018
Log likelihood: -65.195
Log likelihood: -72.5868
Log likelihood: -66.5083
Log likelihood: -64.1832
Log likelihood: -62.7517
Log likelihood: -64.8503
Log likelihood: -66.0747
Log likelihood: -65.3074
Log likelihood: -66.2293
Log likelihood: -66.0747
Log likelihood: -63.6676
Log likelihood: -73.8512
Log likelihood: -65.1048
Log likelihood: -83.1488
Log likelihood: -67.3562
Log likelihood: -62.991
Log likelihood: -70.5912
Log likelihood: -65.656
Log likelihood: -69.2703
Log likelihood: -66.7474
Log likelihood: -63.1661
Log likelihood: -65.2038
Log likelihood: -70.5912
Log likelihood: -64.8503
Completed simulation 300
Log likelihood: -65.3074
Log likelihood: -65.7991
Log likelihood: -61.2576
Log likelihood: -72.3319
Log likelihood: -63.928
