Read input files
Log likelihood: -65.1273
Log likelihood: -64.2803
Log likelihood: -62.1979
Log likelihood: -72.782
Log likelihood: -59.7564
Log likelihood: -64.8219
Log likelihood: -64.5541
Log likelihood: -67.6163
Log likelihood: -64.4332
Log likelihood: -61.669
Log likelihood: -64.3962
Log likelihood: -68.2674
Log likelihood: -63.2751
Log likelihood: -67.0694
Log likelihood: -60.6001
Log likelihood: -65.1536
Log likelihood: -62.4513
Log likelihood: -64.2118
Log likelihood: -60.1361
Log likelihood: -67.2002
Log likelihood: -64.6505
Log likelihood: -66.2861
Log likelihood: -62.6105
Log likelihood: -73.4656
Log likelihood: -60.6471
Log likelihood: -64.6505
Log likelihood: -62.6488
Log likelihood: -62.5709
Log likelihood: -63.0227
Log likelihood: -67.9497
Log likelihood: -61.374
Log likelihood: -60.1361
Log likelihood: -67.6163
Log likelihood: -62.216
Log likelihood: -61.669
Log likelihood: -66.1484
Log likelihood: -63.2751
Log likelihood: -67.6924
Log likelihood: -63.2751
Log likelihood: -68.6405
Log likelihood: -60.6001
Log likelihood: -63.2751
Log likelihood: -63.2751
Log likelihood: -65.7865
Log likelihood: -60.4397
Log likelihood: -61.6788
Log likelihood: -62.4513
Log likelihood: -63.4265
Log likelihood: -60.4806
Log likelihood: -63.1713
Log likelihood: -65.1303
Log likelihood: -62.4452
Log likelihood: -61.8102
Log likelihood: -64.8655
Log likelihood: -64.8537
Log likelihood: -61.1995
Log likelihood: -64.8856
Log likelihood: -60.8825
Log likelihood: -62.903
Log likelihood: -63.6669
Log likelihood: -64.3845
Log likelihood: -61.3489
Log likelihood: -65.1489
Log likelihood: -61.669
Log likelihood: -59.9034
Log likelihood: -60.846
Log likelihood: -60.0625
Log likelihood: -66.276
Log likelihood: -60.1361
Log likelihood: -67.915
Log likelihood: -60.08
Log likelihood: -64.3323
Log likelihood: -60.0305
Log likelihood: -61.3495
Log likelihood: -61.7536
Log likelihood: -65.055
Log likelihood: -60.4806
Log likelihood: -60.7266
Log likelihood: -64.8768
Log likelihood: -63.418
Log likelihood: -60.4806
Log likelihood: -61.1338
Log likelihood: -66.2973
Log likelihood: -60.1361
Log likelihood: -63.5691
Log likelihood: -64.2461
Log likelihood: -65.6751
Log likelihood: -64.6505
Log likelihood: -67.3233
Log likelihood: -66.1484
Log likelihood: -60.8268
Log likelihood: -63.2751
Log likelihood: -62.9671
Log likelihood: -64.5072
Log likelihood: -64.2803
Log likelihood: -67.6163
Log likelihood: -67.8521
Log likelihood: -60.4806
Log likelihood: -71.3118
Log likelihood: -61.669
Completed simulation 100
Log likelihood: -68.7421
Log likelihood: -64.9285
Log likelihood: -64.6027
Log likelihood: -62.5709
Log likelihood: -68.6405
Log likelihood: -62.8061
Log likelihood: -64.8537
Log likelihood: -65.9743
Log likelihood: -62.5585
Log likelihood: -64.8768
Log likelihood: -68.7501
Log likelihood: -62.1979
Log likelihood: -62.5709
Log likelihood: -64.0679
Log likelihood: -64.8537
Log likelihood: -66.2436
Log likelihood: -68.2674
Log likelihood: -66.6279
Log likelihood: -64.2093
Log likelihood: -61.2761
Log likelihood: -67.4803
Log likelihood: -61.9784
Log likelihood: -64.8537
Log likelihood: -63.4758
Log likelihood: -62.4963
Log likelihood: -65.0303
Log likelihood: -64.4947
Log likelihood: -59.2155
Log likelihood: -61.3495
Log likelihood: -63.4758
Log likelihood: -61.8835
Log likelihood: -60.4806
Log likelihood: -63.2751
Log likelihood: -60.4806
Log likelihood: -63.8662
Log likelihood: -62.7728
Log likelihood: -62.4225
Log likelihood: -64.8768
Log likelihood: -62.4428
Log likelihood: -61.0857
Log likelihood: -60.6001
Log likelihood: -61.669
Log likelihood: -60.1361
Log likelihood: -64.1145
Log likelihood: -63.2751
Log likelihood: -64.4776
Log likelihood: -63.2751
Log likelihood: -63.2751
Log likelihood: -64.2118
Log likelihood: -61.8755
Log likelihood: -61.669
Log likelihood: -63.2751
Log likelihood: -61.9497
Log likelihood: -60.4806
Log likelihood: -60.6957
Log likelihood: -68.6405
Log likelihood: -62.5709
Log likelihood: -60.4806
Log likelihood: -62.903
Log likelihood: -59.8237
Log likelihood: -62.9264
Log likelihood: -63.0315
Log likelihood: -63.615
Log likelihood: -60.6471
Log likelihood: -62.4835
Log likelihood: -61.3495
Log likelihood: -64.5374
Log likelihood: -68.6405
Log likelihood: -61.4944
Log likelihood: -64.4725
Log likelihood: -62.3515
Log likelihood: -60.4101
Log likelihood: -61.9918
Log likelihood: -64.4947
Log likelihood: -67.3309
Log likelihood: -60.1361
Log likelihood: -66.3688
Log likelihood: -67.6163
Log likelihood: -62.3273
Log likelihood: -61.669
Log likelihood: -62.6342
Log likelihood: -63.0914
Log likelihood: -68.6405
Log likelihood: -67.6163
Log likelihood: -65.1298
Log likelihood: -63.2751
Log likelihood: -64.2118
Log likelihood: -61.669
Log likelihood: -61.4239
Log likelihood: -60.4806
Log likelihood: -65.3364
Log likelihood: -66.5248
Log likelihood: -71.4661
Log likelihood: -62.4452
Log likelihood: -61.6466
Log likelihood: -63.8649
Log likelihood: -60.8338
Log likelihood: -70.0053
Log likelihood: -62.7344
Log likelihood: -60.4806
Completed simulation 200
Log likelihood: -61.768
Log likelihood: -60.1361
Log likelihood: -60.4806
Log likelihood: -61.669
Log likelihood: -64.4947
Log likelihood: -68.6405
Log likelihood: -62.0079
Log likelihood: -60.6957
Log likelihood: -64.8798
Log likelihood: -62.3036
Log likelihood: -65.1273
Log likelihood: -67.7466
Log likelihood: -67.6924
Log likelihood: -64.6505
Log likelihood: -65.1273
Log likelihood: -62.903
Log likelihood: -62.5709
Log likelihood: -59.3003
Log likelihood: -64.3323
Log likelihood: -63.2751
Log likelihood: -63.2751
Log likelihood: -64.5374
Log likelihood: -67.6924
Log likelihood: -68.8695
Log likelihood: -62.4963
Log likelihood: -63.1141
Log likelihood: -60.7028
Log likelihood: -60.4806
Log likelihood: -66.621
Log likelihood: -68.8673
Log likelihood: -61.0163
Log likelihood: -76.3425
Log likelihood: -63.4758
Log likelihood: -65.6751
Log likelihood: -64.8537
Log likelihood: -60.3164
Log likelihood: -69.4017
Log likelihood: -63.8653
Log likelihood: -60.4806
Log likelihood: -63.2751
Log likelihood: -60.4806
Log likelihood: -60.4806
Log likelihood: -63.2751
Log likelihood: -62.5585
Log likelihood: -60.0195
Log likelihood: -65.1273
Log likelihood: -65.1091
Log likelihood: -60.4806
Log likelihood: -65.6342
Log likelihood: -63.1614
Log likelihood: -61.7155
Log likelihood: -60.4438
Log likelihood: -60.4806
Log likelihood: -61.3685
Log likelihood: -65.1273
Log likelihood: -62.3273
Log likelihood: -60.9453
Log likelihood: -63.7918
Log likelihood: -61.6788
Log likelihood: -62.0744
Log likelihood: -62.0517
Log likelihood: -60.846
Log likelihood: -61.669
Log likelihood: -62.4452
Log likelihood: -59.4982
Log likelihood: -67.6163
Log likelihood: -60.4806
Log likelihood: -60.4806
Log likelihood: -60.4806
Log likelihood: -59.8784
Log likelihood: -59.8237
Log likelihood: -61.1718
Log likelihood: -60.4806
Log likelihood: -66.0685
Log likelihood: -62.7001
Log likelihood: -72.44
Log likelihood: -61.3023
Log likelihood: -61.669
Log likelihood: -62.3273
Log likelihood: -64.3962
Log likelihood: -67.9497
Log likelihood: -64.6505
Log likelihood: -68.2762
Log likelihood: -60.4806
Log likelihood: -62.3515
Log likelihood: -68.2762
Log likelihood: -64.019
Log likelihood: -62.4963
Log likelihood: -67.9497
Log likelihood: -64.6993
Log likelihood: -68.8673
Log likelihood: -64.2118
Log likelihood: -65.7865
Log likelihood: -68.6985
Log likelihood: -62.4428
Log likelihood: -65.6461
Log likelihood: -64.8537
Log likelihood: -65.1748
