Finished reading inputs
Log likelihood: -285.318
Completed simulation 1
Log likelihood: -409.672
Log likelihood: -7682.47
Log likelihood: -1120.5
Log likelihood: -562.264
Log likelihood: -1973.11
Log likelihood: -201.566
Log likelihood: -272.119
Log likelihood: -18070.9
Log likelihood: -1249.09
Log likelihood: -316.094
Log likelihood: -231.164
Log likelihood: -38935.7
Log likelihood: -5110.59
Log likelihood: -1127.38
Log likelihood: -3245.73
Log likelihood: -3361.66
Log likelihood: -168.248
Log likelihood: -403.423
Log likelihood: -5058.68
Log likelihood: -692.203
Log likelihood: -768.75
Log likelihood: -2831.66
Log likelihood: -9584.43
Log likelihood: -454.774
Log likelihood: -8526.69
Log likelihood: -431.772
Log likelihood: -5256.25
Log likelihood: -1629.64
Log likelihood: -291.138
Log likelihood: -3079.86
Log likelihood: -584.059
Log likelihood: -1182.36
Log likelihood: -964.519
Log likelihood: -2066.36
Log likelihood: -4637.28
Log likelihood: -11825
Log likelihood: -543.536
Log likelihood: -419.418
Log likelihood: -10644.3
Log likelihood: -11612.3
Log likelihood: -3013.18
Log likelihood: -245.792
Log likelihood: -187.559
Log likelihood: -926.692
Log likelihood: -1637.77
Log likelihood: -338.991
Log likelihood: -902.622
Log likelihood: -320.385
Log likelihood: -630.507
Log likelihood: -2486.72
Log likelihood: -496.277
Log likelihood: -15773.4
Log likelihood: -572.473
Log likelihood: -1286.53
Log likelihood: -14835.2
Log likelihood: -1925.09
Log likelihood: -1100.93
Log likelihood: -1469.48
Log likelihood: -1287.23
Log likelihood: -12403.2
Log likelihood: -1967.81
Log likelihood: -10270.8
Log likelihood: -714.914
Log likelihood: -6391.7
Log likelihood: -745.91
Log likelihood: -2064.24
Log likelihood: -6253.91
Log likelihood: -2419.28
Log likelihood: -7168.45
Log likelihood: -3377.25
Log likelihood: -933.396
Log likelihood: -310.609
Log likelihood: -859.009
Log likelihood: -5539.35
Log likelihood: -3159.04
Log likelihood: -1194.07
Log likelihood: -5697.36
Log likelihood: -1865.27
Log likelihood: -885.937
Log likelihood: -795.267
Log likelihood: -1338.67
Log likelihood: -421.615
Log likelihood: -1088.44
Log likelihood: -1938.61
Log likelihood: -3694.31
Log likelihood: -14056.6
Log likelihood: -1331.95
Log likelihood: -1192.68
Log likelihood: -4280.07
Log likelihood: -27272.8
Log likelihood: -15158
Log likelihood: -231.143
Log likelihood: -116.758
Log likelihood: -1682.58
Log likelihood: -6290.37
Log likelihood: -1719.53
Log likelihood: -1659.39
Log likelihood: -400.76
Log likelihood: -242.839
Log likelihood: -3013.85
Completed simulation 101
Log likelihood: -1435.87
Log likelihood: -270.412
Log likelihood: -731.856
Log likelihood: -4220.92
Log likelihood: -6724.31
Log likelihood: -3392.6
Log likelihood: -937.025
Log likelihood: -945.606
Log likelihood: -2101.3
Log likelihood: -753.14
Log likelihood: -4271.28
Log likelihood: -738.236
Log likelihood: -6657.2
Log likelihood: -3374.81
Log likelihood: -514.09
Log likelihood: -821.671
Log likelihood: -2293.12
Log likelihood: -3276.43
Log likelihood: -1927.34
Log likelihood: -325.98
Log likelihood: -602.615
Log likelihood: -984.511
Log likelihood: -1296.56
Log likelihood: -4999.45
Log likelihood: -378.297
Log likelihood: -698.914
Log likelihood: -603.71
Log likelihood: -2544.53
Log likelihood: -554.854
Log likelihood: -11159.1
Log likelihood: -3976.54
Log likelihood: -517.911
Log likelihood: -21067.5
Log likelihood: -502.838
Log likelihood: -3800.15
Log likelihood: -1241.29
Log likelihood: -236.829
Log likelihood: -25789.6
Log likelihood: -1316.56
Log likelihood: -8626.18
Log likelihood: -21058.8
Log likelihood: -789.718
Log likelihood: -1784.25
Log likelihood: -777.552
Log likelihood: -3567.73
Log likelihood: -453.519
Log likelihood: -2021.89
Log likelihood: -4227.51
Log likelihood: -3374.75
Log likelihood: -1104.08
Log likelihood: -3483.51
Log likelihood: -1596.75
Log likelihood: -5039.22
Log likelihood: -339.834
Log likelihood: -384.016
Log likelihood: -1210.12
Log likelihood: -646.856
Log likelihood: -2392.14
Log likelihood: -3126.26
Log likelihood: -1027.06
Log likelihood: -401.075
Log likelihood: -3356.99
Log likelihood: -12638.8
Log likelihood: -4542.32
Log likelihood: -17800.4
Log likelihood: -15965.6
Log likelihood: -1052.21
Log likelihood: -1449.37
Log likelihood: -883.428
Log likelihood: -536.116
Log likelihood: -1263.85
Log likelihood: -999.589
Log likelihood: -582.636
Log likelihood: -11938.1
Log likelihood: -1975.04
Log likelihood: -16376.1
Log likelihood: -373.13
Log likelihood: -2880.63
Log likelihood: -200.915
Log likelihood: -119.269
Log likelihood: -1482.44
Log likelihood: -268.303
Log likelihood: -1272.28
Log likelihood: -3247.1
Log likelihood: -1390.94
Log likelihood: -6198.97
Log likelihood: -1112.42
Log likelihood: -23804.5
Log likelihood: -1650.43
Log likelihood: -528.262
Log likelihood: -112.392
Log likelihood: -656.44
Log likelihood: -782.817
Log likelihood: -944.031
Log likelihood: -12633.1
Log likelihood: -18386.8
Log likelihood: -3266.66
Log likelihood: -12087.6
Log likelihood: -3892.38
Log likelihood: -1134.68
Completed simulation 201
Log likelihood: -6191.64
Log likelihood: -625.709
Log likelihood: -3813.02
Log likelihood: -2842.74
Log likelihood: -676.422
Log likelihood: -536.355
Log likelihood: -256.522
Log likelihood: -8166.81
Log likelihood: -819.408
Log likelihood: -3011.86
Log likelihood: -15492.9
Log likelihood: -2439.01
Log likelihood: -1055.11
