Read input files
Log likelihood: -63.5257
Log likelihood: -66.4902
Log likelihood: -66.7684
Log likelihood: -70.8628
Log likelihood: -66.5661
Log likelihood: -64.4611
Log likelihood: -67.7902
Log likelihood: -65.728
Log likelihood: -68.0217
Log likelihood: -66.9906
Log likelihood: -68.6925
Log likelihood: -64.9778
Log likelihood: -62.0238
Log likelihood: -63.7848
Log likelihood: -67.5514
Log likelihood: -67.2175
Log likelihood: -64.6882
Log likelihood: -61.0023
Log likelihood: -65.2362
Log likelihood: -67.652
Log likelihood: -62.0238
Log likelihood: -66.4326
Log likelihood: -68.3705
Log likelihood: -65.2362
Log likelihood: -62.3157
Log likelihood: -61.5003
Log likelihood: -62.3699
Log likelihood: -65.2387
Log likelihood: -62.2967
Log likelihood: -67.6625
Log likelihood: -70.7021
Log likelihood: -65.2362
Log likelihood: -64.8795
Log likelihood: -65.15
Log likelihood: -60.2815
Log likelihood: -72.7451
Log likelihood: -62.0238
Log likelihood: -64.7558
Log likelihood: -64.5469
Log likelihood: -62.1395
Log likelihood: -67.0162
Log likelihood: -62.5445
Log likelihood: -67.1552
Log likelihood: -68.6143
Log likelihood: -68.3784
Log likelihood: -62.1395
Log likelihood: -64.6882
Log likelihood: -67.7233
Log likelihood: -67.2233
Log likelihood: -71.6013
Log likelihood: -64.1613
Log likelihood: -64.318
Log likelihood: -69.046
Log likelihood: -61.6336
Log likelihood: -66.7547
Log likelihood: -69.046
Log likelihood: -63.6484
Log likelihood: -62.2967
Log likelihood: -64.5197
Log likelihood: -72.5946
Log likelihood: -67.7233
Log likelihood: -61.6244
Log likelihood: -65.3816
Log likelihood: -60.2815
Log likelihood: -65.8319
Log likelihood: -63.9058
Log likelihood: -65.6382
Log likelihood: -67.9668
Log likelihood: -65.2362
Log likelihood: -61.9713
Log likelihood: -72.5379
Log likelihood: -67.0165
Log likelihood: -64.9215
Log likelihood: -64.5173
Log likelihood: -70.7021
Log likelihood: -62.3157
Log likelihood: -65.12
Log likelihood: -66.4902
Log likelihood: -66.4902
Log likelihood: -69.1525
Log likelihood: -67.0496
Log likelihood: -67.7233
Log likelihood: -63.9938
Log likelihood: -65.2362
Log likelihood: -63.1692
Log likelihood: -64.5629
Log likelihood: -63.5952
Log likelihood: -66.7547
Log likelihood: -68.5786
Log likelihood: -68.2743
Log likelihood: -65.6866
Log likelihood: -62.5445
Log likelihood: -66.7096
Log likelihood: -69.046
Log likelihood: -66.4902
Log likelihood: -65.6029
Log likelihood: -65.215
Log likelihood: -66.0024
Log likelihood: -64.2519
Log likelihood: -66.2362
Completed simulation 100
Log likelihood: -63.1692
Log likelihood: -69.046
Log likelihood: -62.9846
Log likelihood: -64.3402
Log likelihood: -62.1395
Log likelihood: -63.4558
Log likelihood: -66.7547
Log likelihood: -69.046
Log likelihood: -62.4527
Log likelihood: -66.4902
Log likelihood: -63.4558
Log likelihood: -61.9237
Log likelihood: -65.2387
Log likelihood: -66.7547
Log likelihood: -66.7547
Log likelihood: -66.4902
Log likelihood: -64.9778
Log likelihood: -67.652
Log likelihood: -65.5647
Log likelihood: -70.7021
Log likelihood: -67.4693
Log likelihood: -70.2335
Log likelihood: -66.7547
Log likelihood: -72.3139
Log likelihood: -64.4647
Log likelihood: -68.8472
Log likelihood: -66.2185
Log likelihood: -64.8372
Log likelihood: -62.2967
Log likelihood: -63.6296
Log likelihood: -66.4902
Log likelihood: -65.8182
Log likelihood: -64.5469
Log likelihood: -67.2903
Log likelihood: -67.6861
Log likelihood: -68.2743
Log likelihood: -68.0383
Log likelihood: -66.4902
Log likelihood: -64.3218
Log likelihood: -67.0544
Log likelihood: -63.0868
Log likelihood: -60.2815
Log likelihood: -62.9267
Log likelihood: -66.7096
Log likelihood: -62.0238
Log likelihood: -62.3182
Log likelihood: -64.5469
Log likelihood: -64.9851
Log likelihood: -64.6032
Log likelihood: -61.9425
Log likelihood: -62.6593
Log likelihood: -61.0752
Log likelihood: -63.5998
Log likelihood: -62.8122
Log likelihood: -64.4535
Log likelihood: -61.9547
Log likelihood: -64.3402
Log likelihood: -67.2233
Log likelihood: -66.5213
Log likelihood: -65.4259
Log likelihood: -66.4326
Log likelihood: -64.9215
Log likelihood: -62.0318
Log likelihood: -62.3157
Log likelihood: -64.6816
Log likelihood: -64.5173
Log likelihood: -66.1241
Log likelihood: -62.1395
Log likelihood: -66.4902
Log likelihood: -63.4046
Log likelihood: -64.9215
Log likelihood: -63.9703
Log likelihood: -65.0949
Log likelihood: -73.0463
Log likelihood: -69.046
Log likelihood: -65.2362
Log likelihood: -69.3263
Log likelihood: -65.728
Log likelihood: -69.7943
Log likelihood: -61.4969
Log likelihood: -62.293
Log likelihood: -65.2362
Log likelihood: -65.7246
Log likelihood: -63.4609
Log likelihood: -66.0686
Log likelihood: -66.5606
Log likelihood: -65.1922
Log likelihood: -60.2815
Log likelihood: -63.0883
Log likelihood: -67.2233
Log likelihood: -70.8628
Log likelihood: -66.4902
Log likelihood: -68.4454
Log likelihood: -65.9056
Log likelihood: -68.3146
Log likelihood: -63.2053
Log likelihood: -65.6382
Log likelihood: -62.6899
Log likelihood: -61.3581
Log likelihood: -67.2233
Completed simulation 200
Log likelihood: -63.8208
Log likelihood: -65.2362
Log likelihood: -65.2496
Log likelihood: -61.4969
Log likelihood: -73.0463
Log likelihood: -62.1395
Log likelihood: -62.9402
Log likelihood: -66.2973
Log likelihood: -62.1395
Log likelihood: -66.4902
Log likelihood: -62.2305
Log likelihood: -66.7007
Log likelihood: -66.1888
Log likelihood: -61.6626
Log likelihood: -62.5863
Log likelihood: -65.3239
Log likelihood: -64.3565
Log likelihood: -62.9358
Log likelihood: -67.0165
Log likelihood: -62.0238
Log likelihood: -62.2731
Log likelihood: -66.1241
Log likelihood: -63.4879
Log likelihood: -65.8558
Log likelihood: -67.6485
Log likelihood: -63.0883
Log likelihood: -67.6554
Log likelihood: -61.5545
Log likelihood: -67.0653
Log likelihood: -67.6536
Log likelihood: -70.8628
Log likelihood: -63.4395
