Finished reading inputs
Log likelihood: -274.58
Completed simulation 1
Log likelihood: -403.85
Log likelihood: -10652.4
Log likelihood: -1289.72
Log likelihood: -498.152
Log likelihood: -1916.76
Log likelihood: -488.075
Log likelihood: -1204.35
Log likelihood: -19786.9
Log likelihood: -2403.54
Log likelihood: -889.203
Log likelihood: -154.077
Log likelihood: -40721.4
Log likelihood: -8040.32
Log likelihood: -948.79
Log likelihood: -4039.79
Log likelihood: -3266.99
Log likelihood: -202.038
Log likelihood: -522.134
Log likelihood: -4860.65
Log likelihood: -1482.12
Log likelihood: -887.78
Log likelihood: -2793.17
Log likelihood: -10121
Log likelihood: -424.143
Log likelihood: -15480.7
Log likelihood: -358.692
Log likelihood: -12641.6
Log likelihood: -1609.42
Log likelihood: -331.226
Log likelihood: -7987.3
Log likelihood: -556.065
Log likelihood: -1133.16
Log likelihood: -1195.45
Log likelihood: -2201.54
Log likelihood: -6478.76
Log likelihood: -13862.2
Log likelihood: -396.467
Log likelihood: -385.663
Log likelihood: -18955.8
Log likelihood: -16006.1
Log likelihood: -5016.3
Log likelihood: -408.678
Log likelihood: -2138.67
Log likelihood: -878.66
Log likelihood: -2799.76
Log likelihood: -289.793
Log likelihood: -785.94
Log likelihood: -174.179
Log likelihood: -714.605
Log likelihood: -2349.58
Log likelihood: -413.397
Log likelihood: -16978.2
Log likelihood: -657.957
Log likelihood: -1541.47
Log likelihood: -16898.9
Log likelihood: -7645.64
Log likelihood: -1001.78
Log likelihood: -4239.24
Log likelihood: -1264.38
Log likelihood: -14761.5
Log likelihood: -5999.13
Log likelihood: -15591.1
Log likelihood: -576.082
Log likelihood: -7749.92
Log likelihood: -648.439
Log likelihood: -6963.45
Log likelihood: -9029.86
Log likelihood: -3823.3
Log likelihood: -15031.9
Log likelihood: -8591.46
Log likelihood: -1616.25
Log likelihood: -267.002
Log likelihood: -768.181
Log likelihood: -11405.3
Log likelihood: -5266.84
Log likelihood: -939.833
Log likelihood: -17400.9
Log likelihood: -1783.81
Log likelihood: -674.116
Log likelihood: -861.43
Log likelihood: -1155.55
Log likelihood: -1820.3
Log likelihood: -1308.45
Log likelihood: -7855.21
Log likelihood: -5736.8
Log likelihood: -18878.9
Log likelihood: -1198.93
Log likelihood: -1043.49
Log likelihood: -6027.48
Log likelihood: -34642.3
Log likelihood: -25182.4
Log likelihood: -343.06
Log likelihood: -725.425
Log likelihood: -1425.12
Log likelihood: -6122.14
Log likelihood: -1791.78
Log likelihood: -4670.39
Log likelihood: -875.462
Log likelihood: -199.955
Log likelihood: -2946.73
Completed simulation 101
Log likelihood: -1479.07
Log likelihood: -228.09
Log likelihood: -839.296
Log likelihood: -10947.7
Log likelihood: -8207.81
Log likelihood: -6100.42
Log likelihood: -1171.57
Log likelihood: -929.93
Log likelihood: -2022.46
Log likelihood: -644.344
Log likelihood: -6859.56
Log likelihood: -989.524
Log likelihood: -7866.88
Log likelihood: -3278.14
Log likelihood: -767.89
Log likelihood: -946.329
Log likelihood: -2482.21
Log likelihood: -3096.35
Log likelihood: -2513.97
Log likelihood: -404.998
Log likelihood: -600.524
Log likelihood: -836.249
Log likelihood: -1284.49
Log likelihood: -6556.6
Log likelihood: -206.01
Log likelihood: -701.805
Log likelihood: -525.216
Log likelihood: -2365.95
Log likelihood: -484.342
Log likelihood: -29187.9
Log likelihood: -5886.48
Log likelihood: -1626.81
Log likelihood: -22788
Log likelihood: -417.373
Log likelihood: -3683.27
Log likelihood: -3568.65
Log likelihood: -933.39
Log likelihood: -28453.4
Log likelihood: -1083.61
Log likelihood: -19025.3
Log likelihood: -24748.6
Log likelihood: -718.273
Log likelihood: -1911.11
Log likelihood: -736.071
Log likelihood: -4583.5
Log likelihood: -640.768
Log likelihood: -1997.99
Log likelihood: -4193.37
Log likelihood: -3205.92
Log likelihood: -1428.29
Log likelihood: -3361.73
Log likelihood: -1506.08
Log likelihood: -10062.3
Log likelihood: -612.543
Log likelihood: -501.383
Log likelihood: -2714.23
Log likelihood: -602.95
Log likelihood: -2278.93
Log likelihood: -4537.65
Log likelihood: -1272.83
Log likelihood: -2231.72
Log likelihood: -4715.27
Log likelihood: -14092.8
Log likelihood: -4479.92
Log likelihood: -21058.9
Log likelihood: -18324.3
Log likelihood: -1111.46
Log likelihood: -1382.76
Log likelihood: -1282.03
Log likelihood: -1698.14
Log likelihood: -3257.56
Log likelihood: -1059.6
Log likelihood: -527.27
Log likelihood: -12818.4
Log likelihood: -1771.29
Log likelihood: -17262
Log likelihood: -591.149
Log likelihood: -2589.44
Log likelihood: -246.447
Log likelihood: -415.655
Log likelihood: -1493.05
Log likelihood: -4107.55
Log likelihood: -1244.91
Log likelihood: -3146.02
Log likelihood: -3482.44
Log likelihood: -24772
Log likelihood: -1248.11
Log likelihood: -24756.5
Log likelihood: -1598.57
Log likelihood: -2086.91
Log likelihood: -3160.59
Log likelihood: -2577.18
Log likelihood: -702.896
Log likelihood: -835.04
Log likelihood: -15224.3
Log likelihood: -24456.7
Log likelihood: -8608.58
Log likelihood: -14142.1
Log likelihood: -3820.28
Log likelihood: -904.884
Completed simulation 201
Log likelihood: -17644.7
Log likelihood: -552.467
Log likelihood: -4763.57
Log likelihood: -8379.47
Log likelihood: -638.72
Log likelihood: -472.164
Log likelihood: -211.393
Log likelihood: -8470.95
Log likelihood: -4042.81
Log likelihood: -7663.23
Log likelihood: -16421.3
Log likelihood: -2380.55
Log likelihood: -946.133
