Finished reading inputs
Log likelihood: -282.84
Completed simulation 1
Log likelihood: -413.688
Log likelihood: -7602.56
Log likelihood: -1120.32
Log likelihood: -562.903
Log likelihood: -1961.04
Log likelihood: -204.201
Log likelihood: -268.102
Log likelihood: -18056.1
Log likelihood: -1223.06
Log likelihood: -314.33
Log likelihood: -231.745
Log likelihood: -38934.7
Log likelihood: -5014.06
Log likelihood: -1123.36
Log likelihood: -3226.56
Log likelihood: -3351.42
Log likelihood: -168.155
Log likelihood: -406.444
Log likelihood: -5051.4
Log likelihood: -678.681
Log likelihood: -772.216
Log likelihood: -2824.67
Log likelihood: -9552.84
Log likelihood: -452.465
Log likelihood: -8347.85
Log likelihood: -431.134
Log likelihood: -5111.23
Log likelihood: -1624.82
Log likelihood: -290.305
Log likelihood: -3028.08
Log likelihood: -557.153
Log likelihood: -1181.57
Log likelihood: -942.488
Log likelihood: -1976.48
Log likelihood: -4597.9
Log likelihood: -11763.7
Log likelihood: -540.747
Log likelihood: -415.729
Log likelihood: -10406.9
Log likelihood: -11461.9
Log likelihood: -2952.87
Log likelihood: -247.681
Log likelihood: -187.2
Log likelihood: -921.052
Log likelihood: -1615.43
Log likelihood: -338.272
Log likelihood: -899.675
Log likelihood: -318.018
Log likelihood: -630.918
Log likelihood: -2481.56
Log likelihood: -491.271
Log likelihood: -15718.6
Log likelihood: -576.491
Log likelihood: -1281.28
Log likelihood: -14762.8
Log likelihood: -1886.92
Log likelihood: -1101.87
Log likelihood: -1436.16
Log likelihood: -1277.77
Log likelihood: -12315
Log likelihood: -1904.76
Log likelihood: -10089.6
Log likelihood: -712.811
Log likelihood: -6343.38
Log likelihood: -740.141
Log likelihood: -2033.12
Log likelihood: -6160.28
Log likelihood: -2385.24
Log likelihood: -7028.07
Log likelihood: -3259.2
Log likelihood: -934.013
Log likelihood: -309.268
Log likelihood: -856.116
Log likelihood: -5395.63
Log likelihood: -3081.88
Log likelihood: -1193.28
Log likelihood: -5559.58
Log likelihood: -1859.92
Log likelihood: -879.869
Log likelihood: -797.583
Log likelihood: -1330.58
Log likelihood: -411.137
Log likelihood: -1089.98
Log likelihood: -1894.68
Log likelihood: -3631.52
Log likelihood: -13938.3
Log likelihood: -1323.93
Log likelihood: -1186.12
Log likelihood: -4225.5
Log likelihood: -27060.1
Log likelihood: -14873.3
Log likelihood: -232.084
Log likelihood: -117.203
Log likelihood: -1675.43
Log likelihood: -6282.84
Log likelihood: -1717.98
Log likelihood: -1625.25
Log likelihood: -398.38
Log likelihood: -243.489
Log likelihood: -3017.29
Completed simulation 101
Log likelihood: -1436.86
Log likelihood: -268.119
Log likelihood: -722.832
Log likelihood: -4125.12
Log likelihood: -6673.89
Log likelihood: -3316.93
Log likelihood: -939.524
Log likelihood: -945.357
Log likelihood: -2090.57
Log likelihood: -753.377
Log likelihood: -4188.62
Log likelihood: -737.017
Log likelihood: -6610.37
Log likelihood: -3368.23
Log likelihood: -506.223
Log likelihood: -825.328
Log likelihood: -2277.13
Log likelihood: -3271.19
Log likelihood: -1926.05
Log likelihood: -323.64
Log likelihood: -599.924
Log likelihood: -976.248
Log likelihood: -1293.96
Log likelihood: -4950.03
Log likelihood: -373.24
Log likelihood: -698.648
Log likelihood: -595.519
Log likelihood: -2543.82
Log likelihood: -553.121
Log likelihood: -10756.3
Log likelihood: -3913.37
Log likelihood: -522.907
Log likelihood: -21030.3
Log likelihood: -498.423
Log likelihood: -3795.74
Log likelihood: -1216.61
Log likelihood: -237.52
Log likelihood: -25727.4
Log likelihood: -1309.55
Log likelihood: -8429.95
Log likelihood: -21008.4
Log likelihood: -791.733
Log likelihood: -1784.79
Log likelihood: -776.256
Log likelihood: -3536.2
Log likelihood: -452.665
Log likelihood: -2015.48
Log likelihood: -4219.64
Log likelihood: -3371.39
Log likelihood: -1104.36
Log likelihood: -3477.45
Log likelihood: -1590.37
Log likelihood: -4901.37
Log likelihood: -335.714
Log likelihood: -384.94
Log likelihood: -1182.18
Log likelihood: -647.032
Log likelihood: -2392.3
Log likelihood: -3089.54
Log likelihood: -1025.31
Log likelihood: -400.507
Log likelihood: -3321.89
Log likelihood: -12592.1
Log likelihood: -4542.86
Log likelihood: -17710.8
