Finished reading inputs
Log likelihood: -274.619
Completed simulation 1
Log likelihood: -449.036
Log likelihood: -10098.2
Log likelihood: -1282.62
Log likelihood: -517.99
Log likelihood: -1956.5
Log likelihood: -496.301
Log likelihood: -1177.96
Log likelihood: -19599.6
Log likelihood: -2374.8
Log likelihood: -912.346
Log likelihood: -165.706
Log likelihood: -40707.2
Log likelihood: -7775.29
Log likelihood: -968.068
Log likelihood: -3982.7
Log likelihood: -3300.82
Log likelihood: -200.417
Log likelihood: -552.987
Log likelihood: -4974.26
Log likelihood: -1481.43
Log likelihood: -870.237
Log likelihood: -2818.65
Log likelihood: -10194.2
Log likelihood: -427.16
Log likelihood: -15656.5
Log likelihood: -360.626
Log likelihood: -12537.2
Log likelihood: -1635.14
Log likelihood: -380.283
Log likelihood: -8475.78
Log likelihood: -624.849
Log likelihood: -1177.56
Log likelihood: -1369.2
Log likelihood: -2492.73
Log likelihood: -6527.9
Log likelihood: -13808.1
Log likelihood: -406.534
Log likelihood: -382.987
Log likelihood: -18516.7
Log likelihood: -15846.9
Log likelihood: -5669.63
Log likelihood: -397.561
Log likelihood: -2206.18
Log likelihood: -897.336
Log likelihood: -2785.26
Log likelihood: -295.688
Log likelihood: -841.374
Log likelihood: -183.043
Log likelihood: -687.929
Log likelihood: -2365.97
Log likelihood: -420.674
Log likelihood: -16913.9
Log likelihood: -690.472
Log likelihood: -1711.68
Log likelihood: -16846.7
Log likelihood: -8131.35
Log likelihood: -1064.76
Log likelihood: -4336.51
Log likelihood: -1285.9
Log likelihood: -14551.7
Log likelihood: -5962.43
Log likelihood: -15363.4
Log likelihood: -598.458
Log likelihood: -7795.03
Log likelihood: -651.629
Log likelihood: -7274.84
Log likelihood: -8934.7
Log likelihood: -3835.02
Log likelihood: -15332.8
Log likelihood: -9448.96
Log likelihood: -1506.51
Log likelihood: -277.549
Log likelihood: -756.047
Log likelihood: -11337.7
Log likelihood: -5186.53
Log likelihood: -939.668
Log likelihood: -17998.9
Log likelihood: -1819.67
Log likelihood: -686.458
Log likelihood: -855.829
Log likelihood: -1162.74
Log likelihood: -1758.75
Log likelihood: -1304.87
Log likelihood: -8070.96
Log likelihood: -5614.72
Log likelihood: -18987.8
Log likelihood: -1208
Log likelihood: -1066.31
Log likelihood: -5937.75
Log likelihood: -34752.7
Log likelihood: -25531.8
Log likelihood: -348.782
Log likelihood: -748.361
Log likelihood: -1460.04
Log likelihood: -6159.46
Log likelihood: -1807.81
Log likelihood: -4726.52
Log likelihood: -883.49
Log likelihood: -209.617
Log likelihood: -2986.55
Completed simulation 101
Log likelihood: -1481.8
Log likelihood: -235.239
Log likelihood: -972.622
Log likelihood: -11629.1
Log likelihood: -7859.92
Log likelihood: -6219.22
Log likelihood: -1118
Log likelihood: -954.091
Log likelihood: -2038.54
Log likelihood: -683.872
Log likelihood: -6808.57
Log likelihood: -1006.2
Log likelihood: -7598.99
Log likelihood: -3355.64
Log likelihood: -847.959
Log likelihood: -938.767
Log likelihood: -2505.21
Log likelihood: -3189.57
Log likelihood: -2516.96
Log likelihood: -417.365
Log likelihood: -606.87
Log likelihood: -840.342
Log likelihood: -1325.13
Log likelihood: -6229.96
Log likelihood: -198.514
Log likelihood: -732.658
Log likelihood: -546.7
Log likelihood: -2443.04
Log likelihood: -507.144
Log likelihood: -29235.4
Log likelihood: -5953.86
Log likelihood: -1764.3
Log likelihood: -22763.8
Log likelihood: -444.481
Log likelihood: -3751.94
Log likelihood: -3813.15
Log likelihood: -965.759
Log likelihood: -28463.3
Log likelihood: -1068.6
Log likelihood: -19319
Log likelihood: -25235.4
Log likelihood: -768.038
Log likelihood: -1916.75
Log likelihood: -740.386
Log likelihood: -4696.48
Log likelihood: -636.86
Log likelihood: -2013.75
Log likelihood: -4197.16
Log likelihood: -3275.15
Log likelihood: -1439.65
Log likelihood: -3391.16
Log likelihood: -1534
Log likelihood: -10167.5
Log likelihood: -599.57
Log likelihood: -514.098
Log likelihood: -2888.43
Log likelihood: -632.261
Log likelihood: -2358.85
Log likelihood: -4384.33
Log likelihood: -1281.87
Log likelihood: -2272.05
Log likelihood: -5287.57
Log likelihood: -13940.4
Log likelihood: -4536.62
Log likelihood: -20921.5
Log likelihood: -18258.9
Log likelihood: -1113.92
Log likelihood: -1442.31
