Read input files
Log likelihood: -61.3525
Log likelihood: -66.8955
Log likelihood: -66.0945
Log likelihood: -64.36
Log likelihood: -61.3173
Log likelihood: -69.456
Log likelihood: -66.7088
Log likelihood: -66.7088
Log likelihood: -72.2792
Log likelihood: -64.8607
Log likelihood: -64.6848
Log likelihood: -66.1552
Log likelihood: -64.7113
Log likelihood: -64.7009
Log likelihood: -66.7088
Log likelihood: -68.7532
Log likelihood: -66.7088
Log likelihood: -65.3029
Log likelihood: -65.8614
Log likelihood: -68.2759
Log likelihood: -62.2949
Log likelihood: -66.7088
Log likelihood: -69.6372
Log likelihood: -65.8614
Log likelihood: -66.6291
Log likelihood: -64.9246
Log likelihood: -66.6291
Log likelihood: -60.9885
Log likelihood: -64.3753
Log likelihood: -67.8072
Log likelihood: -69.0192
Log likelihood: -65.8614
Log likelihood: -66.7088
Log likelihood: -65.1695
Log likelihood: -68.2759
Log likelihood: -75.0929
Log likelihood: -64.7113
Log likelihood: -67.8072
Log likelihood: -65.2976
Log likelihood: -66.6291
Log likelihood: -66.7088
Log likelihood: -65.2976
Log likelihood: -62.2479
Log likelihood: -63.402
Log likelihood: -64.1459
Log likelihood: -66.6291
Log likelihood: -66.7088
Log likelihood: -63.5604
Log likelihood: -59.7652
Log likelihood: -64.5554
Log likelihood: -67.8072
Log likelihood: -66.6291
Log likelihood: -65.3151
Log likelihood: -62.8209
Log likelihood: -61.7487
Log likelihood: -65.3151
Log likelihood: -65.7199
Log likelihood: -65.3859
Log likelihood: -69.2631
Log likelihood: -68.4319
Log likelihood: -64.9715
Log likelihood: -64.1783
Log likelihood: -67.7214
Log likelihood: -68.8915
Log likelihood: -68.1929
Log likelihood: -68.2759
Log likelihood: -63.5548
Log likelihood: -69.1184
Log likelihood: -65.8614
Log likelihood: -65.5411
Log likelihood: -67.04
Log likelihood: -68.2759
Log likelihood: -64.6377
Log likelihood: -63.6903
Log likelihood: -64.5059
Log likelihood: -66.6291
Log likelihood: -64.3934
Log likelihood: -74.6713
Log likelihood: -63.672
